Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
Hayden Farquhar,40.0,85.5,13.21,87.65432098765432,74.44444444444444,87.65,82.72,53.09,90.12,7.41,20.99,0.0,0.0,11.11,29.63,0.0,8.64,2.47,20.99,37.04,40.74,Abilene Christian Wildcats
Hayden Howell,119.3,241.5,8.77,97.03389830508475,88.25910931174089,97.03,92.37,56.36,94.49,8.47,20.34,0.0,0.0,9.32,27.97,0.0,8.47,2.54,14.83,33.05,37.29,Abilene Christian Wildcats
Jovan Crnic,200.0,402.0,1.08,85.75063613231552,84.67153284671532,85.75,88.55,48.35,92.37,8.4,20.87,0.0,0.0,10.43,29.01,0.0,8.91,2.54,18.07,30.53,39.44,Abilene Christian Wildcats
Drake Green,40.0,76.5,1.08,94.66666666666667,93.58974358974359,94.67,97.33,50.67,96.0,8.0,16.0,0.0,0.0,8.0,30.67,0.0,6.67,4.0,12.0,36.0,38.67,Abilene Christian Wildcats
Duran Porter,639.0,1295.0,-2.36,87.13496448303079,89.49357520786091,87.13,93.45,47.91,92.11,9.16,24.31,0.0,0.0,9.63,27.7,0.0,9.0,2.6,17.52,28.26,37.33,Abilene Christian Wildcats
Austin Cooke,319.6,646.5,-2.42,86.21794871794873,88.63976083707026,86.22,95.03,45.03,91.99,10.74,27.72,0.0,0.0,9.46,30.29,0.0,8.33,3.04,17.47,29.33,39.75,Abilene Christian Wildcats
Jaylen Franklin,559.0,1132.0,-2.69,86.74481514878268,89.43722943722943,86.74,93.15,47.52,92.34,8.84,23.72,0.0,0.0,9.56,27.59,0.0,9.38,2.71,17.22,27.86,37.15,Abilene Christian Wildcats
Parker Wentz,599.0,1209.5,-3.49,87.09949409780776,90.59205190592053,87.1,94.18,47.55,92.24,9.27,24.54,0.0,0.0,9.53,27.57,0.0,9.02,2.61,17.28,27.66,37.1,Abilene Christian Wildcats
Jaren Lewis,320.0,645.5,-3.53,86.20689655172413,89.73966309341502,86.21,91.85,48.9,92.01,7.37,20.06,0.0,0.0,9.72,26.02,0.0,9.25,2.51,17.71,28.37,35.74,Abilene Christian Wildcats
Jalen Little,559.0,1123.5,-4.01,89.00999091734786,93.01919720767889,89.01,96.82,48.14,92.46,9.72,25.25,0.0,0.0,9.08,27.61,0.0,8.36,2.72,16.62,28.25,36.69,Abilene Christian Wildcats
Frank Toohey,375.0,741.0,-0.3,87.5,87.79840848806366,87.5,90.93,48.21,92.99,9.07,24.86,0.0,0.0,10.44,31.59,0.0,7.69,2.61,17.45,27.47,42.03,Air Force Falcons
Jacob Van,335.0,660.5,-1.09,92.85714285714286,93.94387001477105,92.86,98.76,49.38,93.17,10.56,27.17,0.0,0.0,10.25,32.3,0.0,7.14,2.48,17.08,27.33,42.55,Air Force Falcons
Pervis Louder,80.0,148.5,-1.35,81.16883116883116,82.51748251748252,81.17,76.62,46.75,88.96,7.14,20.13,0.0,0.0,6.49,33.12,0.0,7.79,1.95,17.53,22.08,39.61,Air Force Falcons
CJ Siples,415.0,809.0,-2.05,88.08030112923463,90.13398294762484,88.08,92.85,47.93,92.97,9.16,25.97,0.0,0.0,10.54,31.24,0.0,7.9,2.63,17.57,26.22,41.78,Air Force Falcons
Hayden Graham,775.0,1518.5,-10.14,82.86852589641434,93.0111038536904,82.87,94.56,45.82,93.56,8.76,25.43,0.0,0.0,10.16,31.21,0.0,7.57,2.12,16.6,25.5,41.37,Air Force Falcons
Zach Kocur,775.0,1518.5,-10.14,82.86852589641434,93.0111038536904,82.87,94.56,45.82,93.56,8.76,25.43,0.0,0.0,10.16,31.21,0.0,7.57,2.12,16.6,25.5,41.37,Air Force Falcons
Trevor Lyons,360.0,709.5,-19.33,77.0098730606488,96.3380281690141,77.01,96.47,43.44,94.22,8.32,24.82,0.0,0.0,9.73,31.17,0.0,7.19,1.55,15.51,24.68,40.9,Air Force Falcons
Zach Moer,400.0,777.5,-19.53,78.53470437017995,98.06949806949807,78.53,97.94,43.57,94.09,8.48,25.96,0.0,0.0,9.9,30.85,0.0,7.46,1.67,15.81,23.65,40.75,Air Force Falcons
Kyle Broekhuis,360.0,709.5,-20.08,74.15254237288136,94.23347398030943,74.15,94.63,42.37,94.92,7.49,25.0,0.0,0.0,10.88,29.8,0.0,7.91,1.84,15.96,24.58,40.68,Air Force Falcons
Aaron Jackson,160.0,301.0,15.95,98.00664451827242,82.05980066445183,98.01,82.06,46.84,97.34,16.61,43.52,0.0,0.0,9.3,34.55,0.0,8.31,4.65,11.96,19.27,43.85,Akron Zips
Kwan Cheatham Jr.,720.0,1398.5,10.46,99.00071377587437,88.53868194842407,99.0,88.22,49.75,98.72,15.85,39.97,0.0,0.0,11.78,32.76,0.0,7.14,4.71,13.06,22.2,44.54,Akron Zips
Antino Jackson,680.0,1323.5,9.93,97.73755656108597,87.8122634367903,97.74,87.48,49.62,97.89,15.23,38.99,0.0,0.0,11.09,32.43,0.0,7.24,4.83,13.2,22.47,43.52,Akron Zips
Noah Robotham,679.6,1312.5,9.48,96.86783804430863,87.38601823708207,96.87,87.85,48.74,97.71,14.97,39.72,0.0,0.0,11.15,33.0,0.0,7.18,4.81,13.45,22.92,44.15,Akron Zips
Reggie McAdams,759.6,1475.5,9.35,98.37288135593221,89.02439024390245,98.37,89.08,49.49,98.64,15.53,39.93,0.0,0.0,11.8,32.68,0.0,6.92,4.75,13.15,22.64,44.48,Akron Zips
Pat Forsythe,359.6,708.5,8.52,100.14025245441796,91.61931818181817,100.14,90.46,51.89,95.79,15.71,36.75,0.0,0.0,9.68,31.56,0.0,6.59,5.61,13.88,23.14,41.24,Akron Zips
Jake Kretzer,160.0,323.5,8.34,103.41614906832297,95.07692307692308,103.42,95.96,52.48,106.21,15.53,41.93,0.0,0.0,17.39,31.06,0.0,7.14,3.11,11.18,22.05,48.45,Akron Zips
Josh Williams,79.6,152.0,4.67,104.02684563758389,99.35483870967742,104.03,103.36,48.32,105.37,18.12,48.32,0.0,0.0,18.12,34.9,0.0,4.03,4.03,12.75,24.16,53.02,Akron Zips
Isaiah Johnson,199.6,382.5,1.96,93.93139841688655,91.96891191709845,93.93,93.67,46.17,101.58,15.04,41.95,0.0,0.0,15.3,33.25,0.0,4.49,4.49,13.72,25.59,48.55,Akron Zips
Arthur Wade,44.7,85.5,9.03,95.23809523809523,86.20689655172413,95.24,89.29,52.38,103.57,9.52,35.71,0.0,0.0,20.24,33.33,0.0,9.52,1.19,16.67,23.81,53.57,Alabama A&M Bulldogs
Ladarius Tabb,164.7,317.5,-1.56,84.2443729903537,85.80246913580247,84.24,89.39,48.23,102.57,7.4,28.3,0.0,0.0,18.97,29.58,0.0,8.68,3.54,16.4,25.72,48.55,Alabama A&M Bulldogs
Nicholas West,164.7,317.5,-1.56,84.2443729903537,85.80246913580247,84.24,89.39,48.23,102.57,7.4,28.3,0.0,0.0,18.97,29.58,0.0,8.68,3.54,16.4,25.72,48.55,Alabama A&M Bulldogs
Rakiya Battle,164.7,317.5,-1.56,84.2443729903537,85.80246913580247,84.24,89.39,48.23,102.57,7.4,28.3,0.0,0.0,18.97,29.58,0.0,8.68,3.54,16.4,25.72,48.55,Alabama A&M Bulldogs
Rashawn Green,164.7,317.5,-1.56,84.2443729903537,85.80246913580247,84.24,89.39,48.23,102.57,7.4,28.3,0.0,0.0,18.97,29.58,0.0,8.68,3.54,16.4,25.72,48.55,Alabama A&M Bulldogs
Christopher Thomas,120.0,232.0,-5.48,80.1762114537445,85.65400843881856,80.18,89.43,46.7,102.2,6.61,25.55,0.0,0.0,18.5,28.19,0.0,8.37,4.41,16.3,26.43,46.69,Alabama A&M Bulldogs
