Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Isaac Dye, Ma'Shy Hill",38.4,85.0,29.24,106.41025641025641,77.17391304347827,106.41,91.03,52.56,94.87,11.54,33.33,0.0,0.0,17.95,28.21,5.13,20.51,11.54,23.08,21.79,46.16,Abilene Christian Wildcats
"Isaiah Carrillo, Zy Wright",32.7,66.0,22.86,100.0,77.14285714285715,100.0,87.1,50.0,114.52,8.06,25.81,0.0,0.0,27.42,37.1,0.0,9.68,6.45,12.9,22.58,64.52,Abilene Christian Wildcats
"Isaac Dye, Zy Wright",107.7,219.5,16.45,100.0,83.54978354978356,100.0,92.79,51.44,100.0,11.06,34.62,0.0,0.0,18.27,31.25,7.21,11.54,6.73,18.27,23.08,49.52,Abilene Christian Wildcats
"Isaac Dye, Isaiah Carrillo",40.2,84.5,16.11,103.75000000000001,87.64044943820225,103.75,97.5,51.25,110.0,11.25,32.5,0.0,0.0,23.75,26.25,3.75,11.25,3.75,13.75,21.25,50.0,Abilene Christian Wildcats
"Ma'Shy Hill, Yaniel Rivera",176.5,347.5,13.09,91.74041297935102,78.65168539325843,91.74,82.6,48.67,91.45,9.14,24.19,0.0,0.0,10.03,27.43,12.68,15.63,5.01,18.58,26.84,37.46,Abilene Christian Wildcats
"Tylan Lewis, Zy Wright",69.8,141.0,12.83,91.40625,78.57142857142857,91.41,94.53,52.34,103.91,6.25,27.34,0.0,0.0,23.44,28.91,4.69,15.62,3.91,19.53,32.03,52.35,Abilene Christian Wildcats
"Isaiah Carrillo, Joseph Scott",28.2,54.5,12.79,105.76923076923077,92.98245614035088,105.77,101.92,51.92,109.62,11.54,32.69,0.0,0.0,23.08,28.85,3.85,7.69,5.77,13.46,17.31,51.93,Abilene Christian Wildcats
"Christian Alston, Tylan Lewis",39.4,75.0,12.06,82.1917808219178,70.12987012987013,82.19,73.97,46.58,116.44,5.48,34.25,0.0,0.0,28.77,28.77,4.11,17.81,2.74,12.33,26.03,57.54,Abilene Christian Wildcats
"Ma'Shy Hill, Tylan Lewis",30.1,63.0,9.85,91.66666666666666,81.81818181818183,91.67,90.0,53.33,100.0,3.33,21.67,0.0,0.0,23.33,25.0,5.0,18.33,6.67,23.33,33.33,48.33,Abilene Christian Wildcats
"Cade Hornecker, Zy Wright",231.1,476.0,9.71,96.81528662420382,87.11018711018711,96.82,88.96,52.23,91.93,10.19,26.54,0.0,0.0,12.53,26.54,15.5,10.4,3.18,20.59,24.42,39.07,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill",226.6,449.0,9.68,88.81278538812786,79.13043478260869,88.81,83.11,48.17,94.75,8.45,24.43,0.0,0.0,14.84,26.48,8.9,14.84,5.25,20.09,25.11,41.32,Abilene Christian Wildcats
"Cade Hornecker, Tylan Lewis",45.6,87.5,9.44,91.35802469135803,81.91489361702128,91.36,95.06,49.38,95.06,9.88,24.69,0.0,0.0,11.11,25.93,8.64,14.81,1.23,16.05,29.63,37.04,Abilene Christian Wildcats
