Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Damien Daniels, Kolton Kohl",39.6,68.5,18.82,98.52941176470588,79.71014492753623,98.53,80.88,44.12,92.65,14.71,35.29,0.0,0.0,5.88,42.65,0.0,11.76,0.0,13.24,19.12,48.53,Abilene Christian Wildcats
"B.J. Maxwell, Jalone Friday",619.8,1217.5,18.06,96.4550700741962,78.39607201309329,96.46,78.98,52.51,96.04,8.74,23.66,0.0,0.0,12.86,29.6,0.0,11.21,3.87,16.82,24.73,42.46,Abilene Christian Wildcats
"Jalone Friday, Jaren Lewis",859.8,1700.5,17.49,95.40636042402826,77.92131532589548,95.41,78.15,52.3,96.0,8.78,23.56,0.0,0.0,12.9,29.27,0.0,11.66,3.89,16.9,24.32,42.17,Abilene Christian Wildcats
"Jalone Friday, Jaylen Franklin",859.8,1700.5,17.49,95.40636042402826,77.92131532589548,95.41,78.15,52.3,96.0,8.78,23.56,0.0,0.0,12.9,29.27,0.0,11.66,3.89,16.9,24.32,42.17,Abilene Christian Wildcats
"Jalone Friday, Payten Ricks",859.8,1700.5,17.49,95.40636042402826,77.92131532589548,95.41,78.15,52.3,96.0,8.78,23.56,0.0,0.0,12.9,29.27,0.0,11.66,3.89,16.9,24.32,42.17,Abilene Christian Wildcats
"B.J. Maxwell, Jaylen Franklin",699.8,1369.0,16.81,96.84055841293167,80.02904865649964,96.84,80.97,52.61,96.4,8.96,23.66,0.0,0.0,12.49,29.54,0.0,10.73,3.82,16.09,25.13,42.03,Abilene Christian Wildcats
"B.J. Maxwell, Payten Ricks",699.8,1369.0,16.81,96.84055841293167,80.02904865649964,96.84,80.97,52.61,96.4,8.96,23.66,0.0,0.0,12.49,29.54,0.0,10.73,3.82,16.09,25.13,42.03,Abilene Christian Wildcats
"B.J. Maxwell, Jaren Lewis",699.8,1369.0,16.81,96.84055841293167,80.02904865649964,96.84,80.97,52.61,96.4,8.96,23.66,0.0,0.0,12.49,29.54,0.0,10.73,3.82,16.09,25.13,42.03,Abilene Christian Wildcats
"Jalone Friday, Trey Lenox",240.0,483.0,16.07,92.78350515463917,76.71517671517671,92.78,76.08,51.75,95.88,8.87,23.3,0.0,0.0,12.99,28.45,0.0,12.78,3.92,17.11,23.3,41.44,Abilene Christian Wildcats
"Jaren Lewis, Payten Ricks",1259.4,2437.0,13.47,94.90550534100247,81.43442622950819,94.91,81.64,51.48,96.3,9.41,24.82,0.0,0.0,12.33,29.42,0.0,11.46,3.74,16.02,23.91,41.75,Abilene Christian Wildcats
"Jaylen Franklin, Payten Ricks",1259.4,2437.0,13.47,94.90550534100247,81.43442622950819,94.91,81.64,51.48,96.3,9.41,24.82,0.0,0.0,12.33,29.42,0.0,11.46,3.74,16.02,23.91,41.75,Abilene Christian Wildcats
"Jaren Lewis, Jaylen Franklin",1259.4,2437.0,13.47,94.90550534100247,81.43442622950819,94.91,81.64,51.48,96.3,9.41,24.82,0.0,0.0,12.33,29.42,0.0,11.46,3.74,16.02,23.91,41.75,Abilene Christian Wildcats
"Clay Gayman, Jaren Lewis",40.0,72.0,11.94,96.0,84.05797101449275,96.0,77.33,53.33,104.0,10.67,34.67,0.0,0.0,17.33,37.33,0.0,6.67,6.67,13.33,18.67,54.66,Abilene Christian Wildcats
"Clay Gayman, Jaylen Franklin",40.0,72.0,11.94,96.0,84.05797101449275,96.0,77.33,53.33,104.0,10.67,34.67,0.0,0.0,17.33,37.33,0.0,6.67,6.67,13.33,18.67,54.66,Abilene Christian Wildcats
"Clay Gayman, Kolton Kohl",40.0,72.0,11.94,96.0,84.05797101449275,96.0,77.33,53.33,104.0,10.67,34.67,0.0,0.0,17.33,37.33,0.0,6.67,6.67,13.33,18.67,54.66,Abilene Christian Wildcats
"Clay Gayman, Payten Ricks",40.0,72.0,11.94,96.0,84.05797101449275,96.0,77.33,53.33,104.0,10.67,34.67,0.0,0.0,17.33,37.33,0.0,6.67,6.67,13.33,18.67,54.66,Abilene Christian Wildcats
"Payten Ricks, Trey Lenox",320.0,631.0,10.38,92.25908372827804,81.87599364069952,92.26,81.36,51.18,95.73,9.64,23.85,0.0,0.0,13.11,27.17,0.0,12.64,3.95,17.38,23.85,40.28,Abilene Christian Wildcats
"Jaren Lewis, Trey Lenox",320.0,631.0,10.38,92.25908372827804,81.87599364069952,92.26,81.36,51.18,95.73,9.64,23.85,0.0,0.0,13.11,27.17,0.0,12.64,3.95,17.38,23.85,40.28,Abilene Christian Wildcats
"Jaylen Franklin, Trey Lenox",320.0,631.0,10.38,92.25908372827804,81.87599364069952,92.26,81.36,51.18,95.73,9.64,23.85,0.0,0.0,13.11,27.17,0.0,12.64,3.95,17.38,23.85,40.28,Abilene Christian Wildcats
"Joe Pleasant, Payten Ricks",80.0,151.5,7.1,100.0,92.90322580645162,100.0,97.3,53.38,99.32,10.81,23.65,0.0,0.0,9.46,29.05,0.0,6.76,3.38,10.14,28.38,38.51,Abilene Christian Wildcats
"Jaylen Franklin, Joe Pleasant",80.0,151.5,7.1,100.0,92.90322580645162,100.0,97.3,53.38,99.32,10.81,23.65,0.0,0.0,9.46,29.05,0.0,6.76,3.38,10.14,28.38,38.51,Abilene Christian Wildcats
"B.J. Maxwell, Joe Pleasant",80.0,151.5,7.1,100.0,92.90322580645162,100.0,97.3,53.38,99.32,10.81,23.65,0.0,0.0,9.46,29.05,0.0,6.76,3.38,10.14,28.38,38.51,Abilene Christian Wildcats
"Jaren Lewis, Joe Pleasant",80.0,151.5,7.1,100.0,92.90322580645162,100.0,97.3,53.38,99.32,10.81,23.65,0.0,0.0,9.46,29.05,0.0,6.76,3.38,10.14,28.38,38.51,Abilene Christian Wildcats
"Damien Daniels, Payten Ricks",199.6,365.0,6.58,92.05479452054794,85.47945205479452,92.05,85.48,47.4,95.34,10.41,28.77,0.0,0.0,9.32,31.23,0.0,13.15,2.47,13.97,20.55,40.55,Abilene Christian Wildcats
"Damien Daniels, Jaylen Franklin",199.6,365.0,6.58,92.05479452054794,85.47945205479452,92.05,85.48,47.4,95.34,10.41,28.77,0.0,0.0,9.32,31.23,0.0,13.15,2.47,13.97,20.55,40.55,Abilene Christian Wildcats
"Damien Daniels, Jaren Lewis",199.6,365.0,6.58,92.05479452054794,85.47945205479452,92.05,85.48,47.4,95.34,10.41,28.77,0.0,0.0,9.32,31.23,0.0,13.15,2.47,13.97,20.55,40.55,Abilene Christian Wildcats
"Jaren Lewis, Kolton Kohl",119.6,214.5,5.79,94.47004608294931,88.67924528301887,94.47,86.64,49.31,99.54,11.98,34.1,0.0,0.0,12.44,33.64,0.0,9.22,4.15,12.9,22.12,46.08,Abilene Christian Wildcats
