Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Isaac Dye, Rich Smith, Zy Wright",21.3,38.0,39.72,117.5,77.77777777777779,117.5,70.0,60.0,110.0,15.0,37.5,0.0,0.0,25.0,22.5,22.5,7.5,5.0,15.0,22.5,47.5,Abilene Christian Wildcats
"Ma'Shy Hill, Rich Smith, Yaniel Rivera",63.2,128.0,25.0,104.6875,79.6875,104.69,79.69,54.69,91.41,10.16,21.09,0.0,0.0,8.59,26.56,21.88,14.06,4.69,17.19,30.47,35.15,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Scott, Yaniel Rivera",28.6,56.5,18.74,86.66666666666667,67.9245283018868,86.67,60.0,46.67,95.0,10.0,23.33,0.0,0.0,10.0,18.33,15.0,26.67,1.67,15.0,30.0,28.33,Abilene Christian Wildcats
"Cbo Newton, Ma'Shy Hill, Yaniel Rivera",65.4,129.5,17.25,99.20634920634922,81.95488721804512,99.21,86.51,53.97,97.62,8.73,27.78,0.0,0.0,10.32,24.6,23.81,17.46,2.38,12.7,22.22,34.92,Abilene Christian Wildcats
"Isaac Dye, Rich Smith, Yaniel Rivera",16.4,30.5,15.95,112.5,96.55172413793103,112.5,87.5,68.75,118.75,3.12,25.0,0.0,0.0,21.88,25.0,3.12,6.25,9.38,3.12,15.62,46.88,Abilene Christian Wildcats
"Cade Hornecker, Rich Smith, Zy Wright",96.2,199.5,14.86,99.47643979057592,84.61538461538461,99.48,92.15,50.79,94.24,11.52,27.75,0.0,0.0,15.18,26.18,24.61,8.9,4.71,20.94,27.23,41.36,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill, Yaniel Rivera",67.4,129.5,13.72,99.21875,85.49618320610686,99.22,87.5,53.91,95.31,10.16,27.34,0.0,0.0,9.38,27.34,19.53,14.06,4.69,14.06,29.69,36.72,Abilene Christian Wildcats
"Bradyn Hubbard, Cbo Newton, Christian Alston",52.2,109.0,13.52,93.51851851851852,80.0,93.52,81.48,57.41,100.93,2.78,12.04,0.0,0.0,11.11,30.56,12.96,8.33,3.7,10.19,25.0,41.67,Abilene Christian Wildcats
"Ma'Shy Hill, Yaniel Rivera, Zy Wright",33.1,74.5,11.23,93.42105263157895,82.1917808219178,93.42,78.95,52.63,93.42,7.89,23.68,0.0,0.0,7.89,23.68,21.05,14.47,1.32,14.47,26.32,31.57,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Venzant, Zy Wright",51.3,111.0,10.09,91.66666666666666,81.57894736842105,91.67,86.11,52.78,96.3,8.33,24.07,0.0,0.0,12.96,25.0,11.11,13.89,0.93,16.67,29.63,37.96,Abilene Christian Wildcats
"Cade Hornecker, Cbo Newton, Christian Alston",25.4,52.5,9.65,98.11320754716981,88.46153846153845,98.11,86.79,56.6,105.66,5.66,20.75,0.0,0.0,13.21,26.42,13.21,15.09,5.66,7.55,24.53,39.63,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill, Rich Smith",89.0,166.0,9.64,91.56626506024097,81.92771084337349,91.57,81.93,47.59,90.96,9.04,24.7,0.0,0.0,13.25,27.11,18.07,13.25,6.02,22.29,24.1,40.36,Abilene Christian Wildcats
"Joseph Venzant, Ma'Shy Hill, Yaniel Rivera",66.9,131.5,8.82,93.60000000000001,84.78260869565217,93.6,93.6,49.6,92.8,9.6,25.6,0.0,0.0,9.6,24.8,20.8,17.6,4.0,16.8,27.2,34.4,Abilene Christian Wildcats
