athlete_id,astd_fgm,fgm_pbp
18553,1,5
66733,1,3
4067423,36,48
4396634,7,10
4401637,0,1
4431815,43,106
4431930,69,161
4431995,17,26
4432175,57,94
4432182,91,137
4432196,72,114
4432198,2,3
4432201,61,100
4432204,2,5
4432243,56,184
4432321,2,3
4432364,31,45
4432398,29,44
4432494,72,180
4432515,65,86
4432524,21,38
4432586,105,145
4432589,85,162
4432638,17,203
4432692,66,126
4432737,49,170
4432739,12,17
4432741,55,147
4432749,55,88
4432858,46,70
4432897,36,68
4432899,25,38
4433001,57,68
4433038,0,1
4433138,85,112
4433146,3,4
4433185,20,32
4433208,10,25
4433231,40,65
4433257,28,58
4433265,13,22
4433271,0,2
4433273,57,71
4433274,1,1
4433275,9,11
4433285,76,204
4433286,82,161
4433340,43,51
4433512,36,132
4433560,37,53
4433577,25,47
4433582,1,1
4433596,36,118
4433600,17,24
4433606,58,77
4433611,32,52
4433615,34,75
4433616,5,21
4433625,86,112
4565203,12,17
4565204,24,32
4565698,82,172
4567588,51,59
4575837,81,171
4576062,100,222
4585590,11,30
4585602,24,71
4585609,4,6
4585616,0,1
4586322,18,21
4589481,13,20
4590359,72,103
4590362,30,35
4591258,4,6
4592217,24,34
4592314,1,2
4592404,71,178
4592432,3,5
4592477,22,49
4592579,35,44
4592677,106,169
4592932,0,5
4593474,52,61
4593739,95,141
4593815,110,161
4593883,29,98
4596531,25,144
4596687,0,1
4596711,56,92
4596876,1,2
4598611,64,95
4600548,1,1
4602029,21,55
4608944,2,4
4609653,39,85
4610012,85,155
4610138,1,6
4610140,59,142
4611412,38,53
4611534,47,55
4611541,2,3
4612709,69,72
4682856,101,195
4683134,62,85
4683146,56,82
4683147,45,94
4683629,44,103
4683633,30,35
4683672,30,83
4683675,98,151
4683676,30,91
4683680,37,163
4683682,68,111
4683697,34,135
4683734,53,76
4683741,13,25
4683748,48,178
4683755,43,53
4683756,71,126
4683757,108,156
4683758,73,147
4683761,52,133
4683763,16,21
4683765,32,50
4683767,34,64
4683768,46,99
4683769,69,123
4683770,0,2
4683777,52,90
4683779,16,23
4683781,19,24
4683782,83,144
4683784,11,34
4683785,32,63
4683786,27,105
4683837,7,12
4683842,31,130
4683860,33,150
4683861,21,49
4683941,22,30
4683942,62,246
4683944,122,152
4683946,21,38
4683947,86,144
4683948,24,26
4684022,69,145
4684146,39,56
4684152,52,126
4684155,96,146
4684156,26,50
4684158,5,6
4684163,8,17
4684164,10,10
4684167,100,188
4684206,1,4
4684207,66,92
4684268,71,178
4684269,37,122
4684270,4,24
4684276,50,151
4684285,29,46
4684289,102,221
4684293,33,80
4684296,45,86
4684303,7,9
4684309,85,150
4684443,107,158
4684448,18,31
4684461,13,16
4684596,34,42
4684627,96,152
4684628,76,168
4684634,15,39
4684718,29,64
4684720,65,172
4684733,45,61
4684734,26,40
4684735,26,51
4684745,23,68
4684746,3,4
4684798,15,28
4684799,102,171
4684812,80,111
4684838,21,30
4684840,28,33
4684843,87,176
4684984,47,77
4684986,9,22
4684988,18,27
4685004,28,42
4685013,6,10
4685646,21,40
4685647,31,49
4685648,14,17
4685650,47,129
4685653,20,49
4685654,64,90
4685658,48,61
4685659,57,70
4685662,42,65
4685664,82,171
4685671,32,76
4685673,99,159
4685681,1,1
4685683,52,90
4685685,70,101
4685686,72,191
4685687,65,110
4685802,43,194
4687377,16,31
4690766,29,47
4690767,76,135
4691165,53,92
4693724,48,78
4693725,45,75
4698718,34,200
4698719,93,170
4699440,67,114
4699760,123,169
4700527,74,141
4700841,70,164
4700859,65,87
4700876,0,1
4700877,62,150
4700880,23,46
4700968,38,102
4700971,20,31
4700973,13,41
4701030,63,118
4701125,52,123
4701156,0,2
4701160,44,90
4701187,2,15
4701189,72,157
4701190,4,5
4701217,44,94
4701222,25,75
4701266,1,1
4701543,2,2
4701841,2,9
4701846,4,6
4701998,5,7
4702000,29,35
4702026,22,69
4702042,113,154
4702046,25,68
4702049,39,134
4702097,37,72
4702120,52,83
4702158,52,147
4702212,13,39
4702218,38,75
4702226,91,127
4702236,10,18
4702464,15,37
4702467,60,109
4702484,75,117
4702497,28,93
4702518,40,59
4702522,36,165
4702596,65,95
4702598,22,43
4702626,11,14
4702629,56,107
4702654,57,252
4702671,69,119
4702680,115,194
4702696,67,79
4702739,35,42
4702740,19,26
4702741,68,118
4702764,35,64
4702765,51,78
4702777,22,88
4702784,79,146
4702889,42,66
4702960,4,5
4702961,17,40
4702962,76,97
4702975,10,10
4702976,37,91
4702993,99,147
4702994,34,45
4703009,73,107
4703011,7,9
4703097,9,13
4703106,70,130
4703115,118,222
4703150,3,4
4703155,0,3
4703169,13,19
4703194,1,2
4703196,8,12
4703205,39,59
4703215,91,179
4703253,20,21
4703393,32,43
4703396,136,237
4703399,34,49
4703411,34,46
4703415,30,47
4703526,7,13
4703531,87,133
4703572,96,153
4703637,28,79
4703644,19,115
4703670,1,5
4703804,31,46
4703805,8,16
4703833,90,119
4703837,85,134
4703887,44,62
4703893,9,12
4703899,46,93
4703910,4,7
4703912,60,77
4703977,22,66
4703980,70,179
4703983,11,13
4704015,72,166
4704078,35,176
4704080,2,3
4704086,8,13
4704090,22,32
4704109,43,190
4705371,35,78
4705373,31,66
4706147,2,5
4706237,0,2
4706260,27,107
4706262,58,96
4706275,3,4
4706561,31,36
4706918,19,59
4707019,0,2
4707481,66,146
4707808,23,38
4707906,0,3
4708176,14,20
4708219,41,46
4708533,4,14
4708534,44,64
4709133,8,30
4709140,2,7
4709141,59,70
4709142,65,100
4709150,14,24
4709319,0,3
4709320,105,164
4709321,1,3
4709424,6,7
4709454,67,86
4709991,9,11
4710354,44,94
4710358,21,67
4710359,25,29
4710427,2,4
4710770,48,159
4711255,48,157
4711256,40,101
4711257,3,11
4711258,76,121
4711259,111,257
4711260,70,137
4711262,60,152
4711264,24,34
4711266,17,18
4711267,112,199
4711270,12,48
4711271,26,45
4711273,7,21
4711274,11,16
4711279,63,80
4711280,31,51
4711281,62,113
4711295,46,66
4711296,17,24
4711303,7,18
4711304,83,104
4711306,42,69
4711400,36,68
4711402,15,63
4711593,1,2
4711691,57,102
4711705,4,16
