athlete_id,astd_fgm,fgm_pbp
4067423,21,25
4401637,0,1
4431815,34,77
4431930,55,109
4431995,6,9
4432175,32,50
4432182,16,28
4432196,47,79
4432201,32,56
4432243,34,104
4432321,1,1
4432364,18,27
4432398,15,21
4432494,36,85
4432515,20,25
4432524,16,25
4432586,62,89
4432589,53,103
4432638,9,132
4432692,40,75
4432737,28,96
4432739,3,5
4432741,30,83
4432749,35,63
4432858,13,19
4432897,9,16
4432899,17,25
4433001,37,45
4433138,51,68
4433146,3,4
4433185,19,30
4433208,3,10
4433231,28,42
4433257,3,10
4433265,5,10
4433273,44,55
4433285,45,122
4433286,65,132
4433340,23,27
4433512,18,75
4433560,27,38
4433577,9,16
4433582,1,1
4433596,23,69
4433600,7,10
4433606,36,46
4433611,18,30
4433615,21,41
4433625,44,63
4565203,12,17
4565204,21,29
4565698,48,101
4567588,27,33
4575837,43,105
4576062,53,125
4585590,5,16
4585602,19,57
4586322,15,16
4589481,5,8
4590359,47,65
4590362,16,18
4591258,2,3
4592217,11,15
4592404,43,111
4592477,18,34
4592579,12,14
4592677,60,93
4593474,32,37
4593739,55,83
4593815,66,101
4593883,16,66
4596531,13,94
4596711,32,49
4598611,47,75
4602029,5,14
4609653,24,50
4610012,55,103
4610138,1,4
4610140,37,95
4611412,24,29
4611534,25,32
4612709,27,28
4682856,62,117
4683134,35,47
4683146,38,58
4683147,30,58
4683629,19,44
4683633,3,4
4683672,14,35
4683675,63,96
4683676,29,88
4683680,21,98
4683682,43,72
4683697,19,86
4683734,38,57
4683741,7,18
4683748,26,101
4683755,19,24
4683756,45,82
4683757,62,95
4683758,52,92
4683761,33,82
4683763,4,4
4683765,16,26
4683767,10,16
4683768,28,60
4683769,42,84
4683770,0,1
4683777,24,46
4683781,12,14
4683782,47,80
4683784,8,24
4683785,13,25
4683786,16,51
4683842,17,75
4683860,17,88
4683861,8,18
4683941,15,18
4683942,40,156
4683944,81,100
4683946,8,10
4683947,60,85
4683948,16,18
4684022,42,98
4684146,31,43
4684152,34,80
4684155,48,75
4684156,18,31
4684158,5,6
4684164,6,6
4684167,75,126
4684207,37,55
4684268,46,120
4684269,17,57
4684270,3,10
4684276,30,92
4684285,14,22
4684289,61,150
4684293,16,49
4684296,41,76
4684303,3,4
4684309,49,85
4684443,54,82
4684448,3,3
4684596,19,23
4684627,49,76
4684628,55,118
4684718,10,28
4684720,37,103
4684733,31,41
4684734,13,19
4684735,8,22
4684745,2,9
4684746,3,4
4684799,59,106
4684812,51,73
4684838,14,20
4684840,5,5
4684843,55,108
4684984,27,50
4684986,3,6
4684988,12,20
4685004,25,34
4685013,4,7
4685646,16,30
4685647,13,20
4685650,34,74
4685653,11,26
4685654,41,59
4685658,12,17
4685659,31,39
4685662,27,45
4685664,42,99
4685671,20,48
4685673,50,84
4685683,41,61
4685685,38,60
4685686,43,111
4685687,27,47
4685802,28,128
4687377,11,20
4690766,22,36
4690767,43,80
4691165,41,73
4693724,37,56
4693725,18,33
4698718,20,122
4698719,51,101
4699440,42,75
4699760,68,98
4700527,47,85
4700841,39,96
4700859,46,56
4700877,36,84
4700880,14,28
4700968,24,65
4700971,12,16
4700973,8,26
4701030,36,72
4701125,37,84
4701160,31,54
4701187,2,15
4701189,46,101
4701217,27,63
4701222,19,59
4701846,4,6
4702000,19,23
4702026,9,30
4702042,75,106
4702046,25,68
4702049,21,68
4702097,23,47
4702120,28,45
4702158,29,70
4702212,1,6
4702218,23,45
4702226,56,78
4702236,5,8
4702464,9,19
4702467,39,71
4702484,47,69
4702497,12,55
4702518,31,44
4702522,17,106
4702596,45,61
4702598,9,24
4702629,46,93
4702654,43,168
4702671,42,70
4702680,78,138
4702696,41,49
4702739,22,27
4702740,12,17
4702741,43,82
4702764,21,40
4702765,28,46
4702777,13,48
4702784,48,93
4702889,27,42
4702960,2,3
4702961,11,24
4702962,51,66
4702975,3,3
4702976,21,58
4702993,61,97
4702994,16,21
4703009,49,74
4703011,1,1
4703097,6,10
4703106,48,86
4703115,62,125
4703150,3,4
4703169,11,14
4703194,1,1
4703196,7,10
4703205,25,42
4703215,36,69
4703253,8,9
4703393,20,24
4703396,87,150
4703399,16,23
4703411,10,16
4703415,20,32
4703531,51,76
4703572,65,99
4703637,20,52
4703644,9,73
4703804,30,42
4703805,5,10
4703833,46,67
4703837,51,83
4703887,25,35
4703893,1,2
4703899,28,60
4703910,2,4
4703912,30,36
4703977,20,64
4703980,39,100
4703983,11,13
4704015,49,108
4704078,21,112
4704086,2,2
4704090,11,16
4704109,20,104
4705371,26,60
4705373,17,29
4706147,1,2
4706260,18,60
4706262,33,58
4706561,15,16
4706918,13,30
4707481,39,94
4707808,9,13
4708176,5,7
4708219,28,30
4708533,1,6
4708534,23,34
4709133,4,12
4709140,2,7
4709141,28,33
4709142,51,74
4709150,3,4
4709320,80,115
4709424,5,6
4709454,45,58
4709991,2,2
4710354,21,50
4710358,13,39
4710359,24,28
4710427,2,2
4710770,28,101
4711255,28,108
4711256,20,55
4711258,43,67
4711259,75,177
4711260,42,82
4711262,40,109
4711264,24,33
4711266,11,11
4711267,72,128
4711270,0,3
4711271,15,30
4711273,2,9
4711274,8,11
4711279,38,49
4711280,12,22
4711281,40,78
4711295,33,48
4711296,1,2
4711303,6,9
4711304,45,56
4711306,23,36
4711400,23,43
4711402,7,29
4711691,40,74
4711705,1,4
4711838,19,67
4711900,14,16
4712656,50,76
4712832,40,98
4712834,42,93
4712836,29,88
4712837,7,46
4712838,21,92
4712843,16,73
4712845,52,66
4712846,27,32
4712848,37,71
4712862,51,121
4712866,40,44
4712893,17,31
4712902,70,108
4713885,3,6
4719433,45,69
4781728,13,34
4791227,50,69
4810230,11,16
4816087,31,44
4823976,45,118
4837238,49,86
4837356,40,127
4838703,45,59
4838704,61,101
4838705,9,11
4838708,2,2
4838711,15,31
4838717,72,116
4838718,3,5
4838721,62,90
4838723,40,84
4838724,2,5
4838752,64,102
4845358,28,73
4845361,4,13
4845362,2,2
4845365,51,136
4845368,23,66
4845369,32,73
4845370,6,41
4845373,28,114
4845378,11,72
4845379,19,22
4845380,31,39
4845382,49,74
4845387,5,11
4845388,13,71
4848619,43,103
4848623,0,2
4848625,20,121
4848628,45,91
4848629,30,53
4848630,37,97
4848631,3,7
4848637,76,113
4848642,3,3
4848644,11,17
4858602,2,5
4858604,95,137
4858606,8,20
4858608,1,2
4858609,44,62
4858612,26,40
4869737,40,74
4869739,32,52
4869741,48,65
4869764,32,80
4869766,6,10
4869767,28,92
4869768,34,55
4869769,1,2
4869770,34,60
4869777,19,27
4869778,9,16
4869779,11,20
4869781,6,9
4869785,3,9
4870444,43,71
4870563,2,3
4870564,50,110
4870565,56,71
4870569,74,91
4872727,16,36
4872739,12,28
4872740,67,85
4872743,30,58
4872744,17,21
4873086,13,34
4873089,27,114
4873090,29,124
4873093,3,13
4873100,23,34
4873101,13,40
4873105,36,91
4873107,11,15
4873111,53,59
4873112,1,4
4873115,15,53
4873130,2,4
4873136,1,1
4873141,31,36
4873143,14,109
4873144,11,23
4873145,54,106
4873146,58,109
4873147,19,52
4873151,61,79
4873153,74,111
4873154,2,4
4873160,75,118
4873161,34,64
4873163,8,11
4873180,24,34
4873181,45,56
4873183,11,16
4873184,51,72
4873187,19,29
4873192,5,15
4873194,10,26
4873195,15,21
4873196,1,2
4873199,3,9
4873202,56,88
4873203,46,59
4873206,1,1
4873208,18,23
4873209,39,57
4873219,45,75
4873220,8,17
4879743,11,25
4884255,43,70
4884257,22,44
4888717,5,28
4888720,0,1
4888733,21,31
4888885,11,18
4894445,21,33
4894452,37,59
4894453,10,28
4894460,0,1
4894462,42,65
4894465,7,13
4895353,23,44
4895737,70,92
4895738,20,90
4895740,33,146
4895742,33,100
4895743,10,19
4895745,3,10
4895746,29,75
4895747,44,102
4895753,21,35
4895755,34,50
4895759,20,46
4895776,47,98
4895779,27,37
4895780,25,51
4895782,46,103
4895783,65,90
4895786,5,10
4895787,58,98
4895789,24,35
4895790,8,16
4895793,18,28
4895794,18,32
4895795,44,72
4896359,1,1
4896363,27,35
4896367,26,57
4896368,43,128
4896370,19,44
4896371,24,37
4896378,1,1
4896453,45,82
4896462,18,63
4896480,1,1
4896505,96,137
4896534,55,83
4896557,40,62
4896620,53,126
4896852,32,57
4896862,23,50
4896884,33,77
4896885,29,41
4896936,43,68
4896939,40,70
4896959,5,29
4896969,47,94
4897008,37,68
4897010,27,37
4897018,74,178
4897050,1,1
4897051,31,74
4897052,2,3
4897053,19,47
4897054,37,91
4897066,40,53
4897072,2,4
4897129,37,52
4897163,47,98
4897173,7,63
4897175,47,94
4897192,38,87
4897200,45,69
4897209,21,57
4897215,44,119
4897222,37,86
4897245,22,49
4897258,17,27
4897261,26,38
4897301,5,28
4897302,47,105
4897337,23,87
4897361,71,106
4897364,43,68
4897365,32,73
4897366,12,23
4897370,5,13
4897383,41,71
4897387,9,38
4897412,3,3
4897421,20,56
4897432,40,81
4897438,87,139
4897439,3,10
4897447,30,53
4897451,21,38
4897458,10,34
4897465,43,66
4897466,15,17
4897467,39,122
4897474,48,100
4897478,43,65
4897479,34,71
4897480,0,1
4897481,31,34
4897482,3,3
4897484,12,36
4897485,40,84
4897489,1,1
4897501,18,30
4897504,94,121
4897519,0,2
4897522,3,7
4897531,17,25
4897534,41,92
4897548,52,85
4897571,5,6
4897572,17,24
4897575,5,11
4897583,68,100
4897617,32,52
4897620,13,30
4897626,27,63
4897651,3,4
4897668,24,61
4897671,1,1
4897678,6,13
4897691,43,93
4897704,0,3
4897708,11,16
4897711,27,44
4897715,39,59
4897761,11,29
4897768,60,84
4897775,51,79
4897777,19,21
4897807,6,9
4897854,7,13
4897859,17,23
4897873,40,86
4897888,67,120
4897890,20,31
4897898,23,56
4897902,10,17
4897923,12,74
4897936,34,57
4897938,37,50
4897944,50,63
4897951,46,87
4897953,15,24
4897957,45,66
4897970,62,88
4897973,19,32
4897976,9,17
4897978,10,57
4897982,48,91
4897987,11,31
4898006,10,26
4898010,47,141
4898117,11,14
4898118,62,106
4898165,29,46
4898169,41,67
4898189,23,30
4898190,7,11
4898194,29,64
4898210,53,70
4898212,30,47
4898222,13,22
4898223,12,20
4898226,1,2
4898228,44,69
4898230,36,67
4898243,58,119
4898256,53,75
4898257,4,4
4898278,35,80
4898280,46,98
4898283,34,119
4898293,3,5
4898315,15,33
4898333,38,82
4898334,30,66
4898343,63,106
4898348,3,75
4898349,34,57
4898370,33,80
4898377,15,18
4898382,65,110
4899807,8,23
4900669,16,45
4901166,42,59
4901611,26,39
4901934,47,75
4901961,39,64
4902201,0,9
4902967,31,65
4903216,48,106
4903264,43,88
4904206,61,91
4904792,39,46
4904924,9,16
4904926,4,6
4904928,53,99
4904931,29,78
4905250,30,44
4905284,10,14
4905542,41,77
4906451,0,2
4906515,60,87
4909271,30,63
4910887,52,88
4912212,5,8
4912455,34,68
4915060,37,46
4917097,53,84
4917149,75,99
4917161,42,97
4917385,45,111
4920142,17,26
4937074,57,93
5033017,12,35
5037870,47,88
5037872,25,49
5037874,24,67
5037875,37,83
5037876,42,68
5037877,7,9
5037878,40,59
5037880,46,72
5037881,59,74
5041934,9,59
5041935,68,159
5041937,24,60
5041938,6,8
5041940,0,1
5041942,14,18
5041945,23,34
5041948,0,3
5041949,39,92
5041951,49,116
5041953,58,97
5041954,38,66
5041955,47,112
5041958,32,56
5044426,71,108
5054083,19,80
5054085,16,45
5060684,58,86
5060685,57,88
5060688,42,62
5060696,37,59
5060698,6,16
5060699,86,132
5060700,30,74
5060701,30,108
5060702,18,43
5060703,26,104
5060705,27,141
5060706,51,88
5060708,51,105
5060709,40,142
5060710,1,1
5060712,34,99
5060718,7,28
5060721,52,123
5060724,24,92
5060727,41,53
5060728,9,40
5060730,27,72
5060731,7,16
5060732,63,110
5060733,18,24
5061569,44,59
5061572,47,104
5061576,39,56
5061581,17,19
5061584,45,71
5061585,74,113
5061587,20,29
5061592,3,4
5061595,32,41
5061596,31,50
5061597,7,11
5061598,41,48
5061605,24,49
5061606,1,2
5061607,7,8
5070505,40,55
5075230,31,42
5075625,39,106
5075626,45,91
5077373,17,65
5079838,45,70
5080489,73,104
5080790,0,3
5081348,6,15
5081887,44,89
5082206,51,118
5082704,48,106
5093142,46,72
5093143,27,47
5093250,30,35
5093252,49,90
5093253,12,18
5093264,26,39
5093265,42,55
5093266,1,2
5093403,20,28
5095063,41,119
5095151,31,83
5095152,65,122
5095153,14,26
5095154,18,44
5095155,41,76
5101624,39,65
5101648,20,40
5101649,21,59
5101650,4,5
5101653,16,80
5101654,9,17
5101655,14,24
5101656,9,14
5101658,25,34
5101660,22,27
5101664,37,62
5101666,13,25
5101667,12,17
5101668,34,51
5101669,20,29
5101672,27,63
5101673,63,94
5101675,3,7
5101676,71,106
5101681,9,12
5101686,2,3
5101689,11,16
5101691,6,13
5101692,10,13
5101761,21,59
5101762,18,33
5101765,5,21
5101766,4,16
5101768,18,42
5101773,2,3
5101774,19,40
5101776,15,49
5101782,35,79
5101784,29,57
5101787,1,2
5101788,16,20
5101794,22,64
5101796,8,25
5101797,4,6
5101798,19,34
5101799,43,57
5101806,12,26
5101807,6,11
5101809,46,107
5101826,17,27
5101827,11,13
5101831,24,39
5101832,27,37
5101833,36,68
5101834,10,15
5101837,12,13
5101840,41,71
5101843,12,22
5101845,2,2
5101846,17,22
5101848,5,13
5101849,30,52
5101850,22,42
5101852,6,9
5101859,10,12
5101865,52,85
5102618,24,30
5102797,2,5
5102798,30,33
5102799,38,72
5103571,14,20
5103584,19,33
5103589,27,51
5103590,53,95
5103630,68,140
5103631,42,82
5103832,11,54
5104196,14,30
5105337,27,40
5105342,1,1
5105401,82,122
5105402,31,74
5105410,23,33
5105411,28,36
5105412,3,3
5105414,11,16
5105416,2,4
5105417,10,14
5105418,28,39
5105419,0,1
5105426,62,98
5105431,24,38
5105432,37,58
5105444,58,97
5105445,14,44
5105446,8,12
5105448,61,98
5105449,37,99
5105453,32,55
5105454,66,95
5105455,53,95
5105456,24,38
5105457,37,107
5105458,7,10
5105461,34,54
5105462,38,71
5105463,44,64
5105464,25,39
5105468,43,98
5105471,85,133
5105472,33,75
5105478,14,47
5105481,33,65
5105486,22,39
5105487,5,13
5105493,12,35
5105494,29,70
5105495,18,28
5105514,2,3
5105527,36,95
5105528,5,6
5105529,41,96
5105531,38,63
5105533,40,81
5105537,32,57
5105538,48,96
5105539,40,101
5105540,24,32
5105543,20,30
5105544,4,4
5105545,27,41
5105546,39,77
5105547,1,2
5105548,26,48
5105549,1,1
5105551,40,69
5105552,27,65
5105555,40,69
5105560,36,132
5105561,1,3
5105562,32,75
5105563,3,6
5105566,8,9
5105569,37,92
5105571,67,115
5105577,53,90
5105580,52,111
5105581,42,112
5105587,55,90
5105588,57,95
5105589,7,10
5105593,36,65
5105594,37,97
5105596,38,68
5105598,44,91
5105599,46,56
5105600,4,8
5105603,44,146
5105604,36,50
5105605,2,4
5105606,4,18
5105607,31,37
5105612,25,46
5105615,42,66
5105618,16,37
5105619,27,74
5105622,14,29
5105624,25,78
5105625,10,11
5105626,98,126
5105627,16,39
5105631,14,29
5105632,28,35
5105633,47,68
5105634,7,18
5105636,26,78
5105641,59,84
5105642,64,91
5105643,52,87
5105645,17,35
5105646,5,12
5105647,25,53
5105648,3,7
5105649,3,8
5105657,15,53
5105658,18,56
5105659,7,22
5105660,48,63
5105662,58,73
5105668,3,7
5105670,10,16
5105671,6,7
5105672,17,39
5105678,23,47
5105681,24,37
5105684,0,1
5105688,1,1
5105689,16,34
5105691,54,123
5105694,30,47
5105695,3,3
5105698,101,143
5105717,7,16
5105719,43,60
5105758,45,94
5105760,11,30
5105765,1,1
5105772,7,11
5105778,47,115
5105779,29,39
5105780,9,29
5105781,27,52
5105782,6,9
5105783,1,1
5105785,53,111
5105790,16,29
5105791,19,84
5105794,30,47
5105795,22,30
5105796,64,98
5105798,57,120
5105800,50,103
5105801,23,86
5105803,42,48
5105804,35,61
5105805,36,105
5105809,91,134
5105811,19,39
5105815,57,96
5105816,20,43
5105817,53,76
5105819,2,4
5105820,42,62
5105821,38,129
5105822,34,51
5105823,1,6
5105824,22,38
5105825,49,70
5105826,12,20
5105827,21,39
5105832,127,187
5105833,44,65
5105836,17,45
5105837,36,154
5105840,50,55
5105841,46,58
5105844,13,69
5105845,2,3
5105847,48,92
5105853,83,97
5105854,38,128
5105855,28,38
5105857,31,62
5105858,37,100
5105859,41,81
5105860,38,55
5105862,8,16
5105863,1,1
5105864,43,62
5105865,34,46
5105866,14,30
5105870,1,1
5105875,30,68
5105876,90,165
5105877,40,51
5105881,43,69
5105882,1,1
5105883,24,33
5105885,31,83
5105889,55,145
5105890,20,27
5105895,19,62
5105901,6,10
5105904,11,20
5105964,6,6
5105965,41,167
5105966,31,42
5105967,5,8
5105970,14,17
5105971,32,36
5105972,20,27
5105974,32,56
5105975,45,55
5105976,10,14
5105978,2,4
5105980,33,83
5105981,81,115
5105982,62,97
5105984,31,79
5105987,24,52
5105988,64,88
5106037,16,153
5106039,32,55
5106040,35,65
5106043,11,20
5106051,47,92
5106053,24,64
5106055,41,58
5106056,56,92
5106058,48,87
5106059,16,32
5106206,58,101
5106207,2,2
5106236,38,92
5106237,43,66
5106240,24,61
5106241,36,54
5106242,24,37
5106243,38,60
5106245,31,41
5106247,69,90
5106253,31,87
5106254,47,97
5106255,9,9
5106260,1,2
5106261,40,54
5106262,77,136
5106265,30,101
5106266,27,39
5106270,74,154
5106272,35,84
5106274,42,117
5106275,65,167
5106279,22,79
5106280,60,123
5106283,35,73
5106284,15,51
5106285,30,65
5106288,25,45
5106291,27,145
5106292,30,39
5106293,28,45
5106309,0,3
5106313,21,27
5106449,1,1
5106452,32,52
5106453,23,86
5106456,21,26
5106459,9,10
5106461,13,20
5106462,1,1
5106588,29,49
5106589,17,23
5106590,17,25
5106598,28,92
5106599,50,106
5106600,28,43
5106602,2,2
5106607,30,49
5106610,38,65
5106611,38,65
5106612,13,30
5106614,23,51
5106619,38,49
5106620,29,91
5106628,31,43
5106632,36,81
5106634,24,39
5106640,2,3
5106641,3,5
5106647,14,25
5106652,32,92
5106660,17,33
5106662,6,11
5106665,0,1
5106667,12,32
5106673,47,75
5106674,36,108
5106677,2,4
5106680,33,53
5106682,10,23
5106684,43,64
5106697,10,12
5106702,34,66
5106703,25,35
5106705,33,47
5106706,21,68
5106707,36,45
5106709,2,3
5106711,9,40
5106714,26,45
5106715,19,44
5106716,48,74
5106717,36,44
5106718,7,15
5106719,3,5
5106722,3,7
5106723,1,1
5106727,25,111
5106728,35,70
5106731,51,77
5106732,23,63
5106734,28,66
5106735,80,142
5106738,43,78
5106742,35,64
5106744,41,79
5106750,24,29
5106752,4,4
5106754,16,98
5106755,19,28
5106766,46,112
5106767,14,67
5106773,18,28
5106775,36,122
5106776,44,125
5106779,0,1
5106785,7,12
5106786,32,42
5106790,1,2
5106795,1,1
5106806,23,38
5106807,1,1
5106839,6,7
5106841,31,64
5106843,46,56
5106862,40,56
5106863,23,70
5106864,57,93
5106865,46,88
5106867,36,66
5106869,32,82
5106877,31,105
5106879,8,19
5106880,32,68
5106881,42,47
5107069,52,113
5107070,29,72
5107076,62,104
5107077,50,115
5107078,13,32
5107088,67,74
5107142,13,22
5107144,28,42
5107146,10,12
5107147,1,2
5107148,38,85
5107149,4,4
5107151,2,2
5107153,0,2
5107154,24,53
5107157,55,120
5107158,24,34
5107161,35,44
5107163,15,20
5107164,8,17
5107167,15,26
5107169,33,82
5107174,37,77
5107175,9,15
5107176,20,52
5107178,32,48
5107180,83,144
5107183,1,2
5107184,13,29
5107189,28,54
5107191,0,1
5107196,2,3
5107197,8,12
5107198,38,128
5107203,6,16
5107204,54,78
5107205,21,26
5107209,22,53
5107211,19,28
5107218,4,5
5107219,33,42
5107220,11,21
5107223,26,53
5107226,39,141
5107230,21,26
5107233,3,3
5107242,48,81
5107246,12,20
5107251,72,114
5107255,25,67
5107258,31,57
5107259,36,42
5107261,29,41
5107262,1,1
5107263,19,58
5107264,49,76
5107267,1,2
5107268,42,57
5107271,50,98
5107272,28,40
5107273,35,80
5107274,28,45
5107275,29,63
5107278,43,70
5107280,12,14
5107282,5,13
5107287,33,67
5107289,5,6
5107293,17,27
5107295,55,108
5107296,8,14
5107298,72,145
5107299,55,92
5107301,25,41
5107307,3,13
5107312,35,64
5107317,21,107
5107320,4,20
5107321,50,106
5107325,18,40
5107343,9,20
5107345,41,96
5107346,26,88
5107349,21,81
5107350,39,75
5107353,52,87
5107355,81,92
5107358,14,39
5107364,31,57
5107369,41,62
5107375,46,80
5107377,34,97
5107408,36,51
5107410,25,33
5107438,24,50
5107441,17,27
5107453,32,61
5107455,25,70
5107474,6,18
5107477,27,83
5107490,8,14
5107508,45,156
5107514,40,62
5107520,14,35
5107524,40,91
5107530,21,62
5107563,26,46
5107567,77,111
5107626,43,60
5107627,10,54
5107642,1,5
5107652,16,45
5107653,44,62
5107655,64,92
5107670,35,53
5107700,14,18
5107701,39,91
5107703,20,29
5107704,39,52
5107708,38,55
5107768,38,110
5107769,3,5
5107770,18,46
5107781,11,15
5107782,25,125
5107789,44,65
5107792,25,85
5107797,25,32
5107803,1,2
5107804,41,81
5107805,4,6
5107807,23,56
5107811,51,59
5107813,11,48
5107819,17,42
5107824,33,69
5107830,14,22
5107841,22,51
5107843,13,16
5107844,21,104
5107851,26,53
5107857,44,103
5107858,61,123
5107860,17,26
5107864,49,131
5107866,34,49
5107870,53,54
5107872,24,50
5107877,24,34
5107878,9,25
5107879,11,17
5107880,63,112
5107885,40,45
5107887,56,124
5107889,0,1
5107890,68,110
5107891,40,75
5107895,21,70
5107896,1,5
5107899,32,72
5107903,70,106
5107904,24,88
5107905,1,1
5107963,39,49
5107966,12,31
5107968,50,120
5107969,28,55
5107970,86,108
5107971,1,1
5107972,3,3
5107973,2,3
5107975,11,13
5107976,15,72
5107977,29,58
5107986,32,56
5107997,1,1
5107999,18,35
5108000,2,5
5108006,34,107
5108009,37,45
5108010,33,52
5108011,50,113
5108022,27,51
5108023,21,109
5108028,36,47
5108029,36,41
5108030,18,36
5108042,2,7
5108043,22,41
5108045,26,34
5108046,15,28
5108047,0,3
5108048,8,11
5108049,42,74
5108050,13,25
5108059,46,150
5108060,86,111
5108062,75,130
5108069,22,38
5108073,26,42
5108080,34,65
5108081,18,54
5108082,23,102
5108085,31,54
5108086,27,42
5108090,2,5
5108091,6,9
5108092,32,60
5108093,62,116
5108101,8,18
5108105,49,67
5108113,0,1
5108120,11,18
5108121,18,44
5108122,9,37
5108141,33,59
5108143,31,52
5108145,16,18
5108148,64,97
5108150,15,43
5108718,53,79
5108719,60,88
5108720,10,20
5108759,2,3
5108762,44,74
5108764,32,138
5108770,38,76
5108775,20,63
5108777,3,4
5108778,42,75
5108786,37,67
5108789,56,71
5108796,32,50
5108799,13,18
5108806,16,36
5108809,80,123
5108810,37,51
5108811,22,70
5108813,3,3
5108826,22,37
5108850,3,5
5108877,49,61
5108879,53,134
5108891,23,44
5108908,31,44
5108909,17,62
5108915,25,57
5108917,31,54
5108925,20,104
5108930,34,51
5108969,33,90
5108973,36,53
5108978,13,36
5108983,19,37
5108991,17,20
5108992,19,32
5109018,2,3
5109019,22,33
5109020,54,58
5109033,23,42
5109034,31,44
5109771,5,6
5109782,47,81
5109787,43,76
5109789,34,48
5109790,39,64
5109791,3,3
5110002,30,44
5110039,46,69
5110173,22,62
5110430,2,2
5110696,58,70
5111629,14,22
5111902,34,56
5111919,27,95
5112181,33,38
5112187,16,41
5112189,12,14
5112245,4,9
5112334,27,32
5112342,14,22
5112412,36,64
5113141,0,3
5113182,1,1
5113385,7,16
5113390,42,79
5113400,1,1
5113534,29,110
5113969,56,117
5114231,3,3
5114350,40,72
5114447,6,7
5114809,46,84
5115354,87,114
5115357,16,19
5115446,5,7
5115456,1,1
5115458,56,85
5115621,0,1
5115866,16,53
5116128,40,70
5116155,19,29
5116435,23,32
5116468,51,72
5116500,20,31
5116517,17,24
5116961,1,1
5117524,1,1
5117583,10,24
5117606,9,12
5117627,25,44
5117648,28,69
5117707,23,41
5118089,3,3
5119063,35,45
5119069,27,144
5119095,61,81
5120280,8,27
5121357,9,32
5121428,1,1
5121952,1,2
5122260,11,19
5122836,63,119
5122918,36,67
5123799,12,13
5123978,11,15
5124659,5,12
5125137,3,4
5125176,28,51
5125192,34,116
5126036,8,51
5137653,9,44
5141770,0,1
5142356,48,80
5142358,24,50
5142360,13,15
5142584,46,88
5142608,74,112
5142609,66,145
5142610,15,19
5142617,3,4
5142618,14,105
5142620,59,172
5142621,63,82
5142622,10,19
5142625,45,56
5142708,15,26
5142709,27,47
5142710,25,40
5142718,44,193
5143601,5,8
5143603,27,93
5143604,59,125
5143607,32,39
5143921,5,9
5144059,5,7
5144086,46,154
5144088,12,36
5144089,5,12
5144090,23,73
5144092,16,32
5144097,20,44
5144099,41,75
5144103,2,4
5144105,26,105
5144106,4,8
5144108,17,80
5144110,21,98
5144124,28,41
5144128,14,31
5144135,21,66
5144139,28,36
5144141,17,27
5144147,37,42
5144151,1,2
5144153,17,27
5144158,2,4
5144165,58,87
5144166,20,76
5144372,27,45
5144373,51,81
5144375,75,154
5144378,46,100
5144380,48,98
5144381,17,33
5144382,14,22
5144387,5,14
5144388,13,17
5144391,1,1
5144392,32,55
5144495,34,62
5145712,12,17
5147928,31,42
5149077,23,131
5149078,77,103
5149083,10,15
5149115,56,98
5149116,2,2
5149117,21,74
5149633,14,18
5150404,22,54
5151855,17,47
5152623,19,50
5152656,14,25
5152658,13,19
5152729,19,36
5152761,4,7
5152763,45,57
5156117,24,83
5164367,36,91
5164368,46,103
5164369,8,21
5164558,38,64
5164559,48,99
5164560,6,14
5165275,5,5
5165276,36,88
5169569,10,15
5170078,8,12
5171688,40,68
5171788,26,43
5172339,15,24
5172343,13,15
5173445,22,43
5173589,4,4
5174288,47,109
5174289,0,1
5174291,25,63
