athlete_id,astd_fgm,fgm_pbp
4067423,0,1
4432175,1,2
4432182,11,16
4432196,5,6
4432243,7,26
4432398,1,1
4432494,2,3
4432692,3,6
4432737,5,21
4432739,1,1
4433138,13,14
4433285,3,4
4433512,3,9
4433596,2,16
4433606,8,9
4433625,4,5
4565698,7,17
4567588,2,2
4576062,10,22
4592677,6,14
4593739,3,7
4593815,7,10
4596531,1,5
4610012,7,13
4610138,0,2
4611534,4,5
4612709,7,8
4683146,3,3
4683147,5,9
4683672,1,4
4683682,1,5
4683758,3,8
4683765,1,1
4683777,3,6
4683781,1,2
4683785,2,2
4683860,1,7
4683861,4,10
4684155,5,5
4684269,3,10
4684285,1,1
4684443,7,8
4684596,2,3
4684627,12,19
4684733,2,5
4684799,2,2
4684843,0,2
4685004,0,3
4685647,2,2
4685650,2,8
4685653,1,2
4685654,2,3
4685658,9,9
4685659,5,7
4685687,6,12
4698719,10,14
4699440,0,2
4699760,6,10
4700527,1,5
4700859,6,10
4701030,1,3
4701125,2,4
4701189,1,3
4701217,1,2
4702049,0,6
4702158,1,7
4702467,1,1
4702484,12,16
4702629,1,1
4702654,0,10
4702671,5,9
4702739,4,4
4702784,4,4
4702962,7,12
4702975,1,1
4702993,5,7
4703115,1,8
4703169,1,1
4703215,4,7
4703253,1,1
4703393,1,1
4703396,7,16
4703411,4,6
4703572,1,1
4703887,2,3
4703899,3,5
4703912,10,18
4704078,1,5
4707481,6,7
4709141,5,6
4710354,4,7
4711255,3,10
4711256,1,5
4711258,0,4
4711259,7,17
4711264,0,1
4711267,0,3
4711304,10,10
4711306,2,5
4711402,0,2
4712832,0,7
4712836,1,5
4712838,1,2
4712845,10,11
4712866,1,2
4791227,7,7
4837356,5,10
4838704,1,6
4838717,6,11
4838721,8,8
4838752,2,2
4845368,2,6
4845370,2,6
4845373,3,10
4845382,4,6
4845387,1,1
4848625,4,19
4848637,9,14
4848644,1,1
4858604,15,20
4869764,9,24
4869770,3,9
4869781,1,1
4870564,0,1
4870569,2,6
4872739,0,4
4872740,15,19
4873086,1,8
4873089,12,22
4873090,5,22
4873111,3,3
4873115,4,17
4873151,2,4
4873153,17,26
4873181,4,4
4873183,1,2
4873184,10,12
4873187,1,2
4873202,2,4
4873203,9,10
4873209,5,5
4884257,1,1
4894452,4,5
4894465,1,1
4895737,11,19
4895753,4,6
4895776,5,5
4895780,2,8
4895783,3,4
4895793,1,2
4895794,2,2
4896363,2,2
4896534,7,7
4896557,5,5
4896862,2,5
4896936,1,4
4897148,2,2
4897209,0,1
4897365,5,18
4897432,4,8
4897438,15,33
4897474,0,1
4897478,11,13
4897768,8,13
4897888,3,5
4897890,2,5
4897936,0,1
4897957,3,3
4898118,4,6
4898223,0,3
4898230,0,1
4898283,2,6
4901166,2,2
4901961,7,14
4904924,1,2
4904928,3,9
4904931,0,7
4905250,1,1
4915060,1,1
4917097,5,7
4917149,22,32
4920142,5,7
4937074,4,8
5037876,9,16
5037878,3,3
5037880,3,4
5037881,2,2
5041935,13,28
5041937,7,19
5041945,5,10
