athlete_id_1,fouls
18553,5
66733,1
4067423,45
4396634,7
4401637,2
4431815,58
4431930,71
4431995,25
4432175,33
4432182,33
4432196,34
4432198,5
4432201,41
4432204,9
4432243,48
4432321,1
4432364,34
4432398,31
4432494,60
4432515,44
4432524,15
4432586,31
4432589,55
4432638,51
4432692,49
4432737,53
4432739,30
4432741,28
4432749,68
4432858,43
4432897,44
4432899,29
4433001,47
4433038,1
4433138,38
4433146,10
4433185,40
4433208,15
4433231,45
4433257,29
4433265,12
4433271,8
4433273,88
4433274,6
4433275,8
4433285,34
4433286,65
4433289,1
4433340,48
4433512,49
4433560,66
4433577,19
4433596,20
4433600,61
4433606,15
4433611,68
4433615,51
4433616,24
4433625,70
4565203,12
4565204,31
4565698,48
4567588,55
4575837,53
4576062,55
4585590,38
4585602,59
4585609,10
4585616,1
4586322,25
4589481,22
4590359,61
4590362,12
4591258,3
4592217,54
4592404,68
4592432,8
4592477,19
4592579,34
4592677,44
4592932,1
4593474,43
4593739,73
4593815,59
4593883,100
4596531,59
4596687,3
4596711,59
4596876,2
4597308,1
4598611,45
4600548,3
4602029,11
4608944,3
4609653,49
4610012,54
4610138,18
4610140,49
4611412,55
4611534,43
4611541,6
4612709,33
4682856,79
4683134,40
4683146,67
4683147,74
4683629,31
4683633,16
4683672,62
4683675,48
4683676,25
4683680,42
4683682,51
4683697,45
4683734,38
4683741,30
4683748,69
4683755,55
4683756,45
4683757,62
4683758,67
4683761,57
4683763,25
4683765,39
4683767,57
4683768,55
4683769,53
4683770,11
4683777,42
4683779,13
4683781,23
4683782,43
4683784,44
4683785,60
4683786,45
4683837,10
4683842,75
4683860,76
4683861,30
4683939,3
4683941,47
4683942,47
4683944,36
4683946,26
4683947,50
4683948,10
4684022,67
4684146,52
4684152,56
4684155,62
4684156,79
4684158,8
4684163,22
4684164,34
4684167,54
4684206,4
4684207,91
4684268,41
4684269,46
4684270,12
4684276,47
4684285,43
4684289,49
4684293,40
4684296,56
4684303,25
4684309,92
4684443,36
4684448,29
4684461,23
4684596,34
4684627,35
4684628,61
4684634,10
4684718,36
4684720,43
4684733,16
4684734,21
4684735,37
4684745,33
4684746,11
4684798,16
4684799,58
4684812,65
4684838,42
4684840,18
4684843,51
4684984,63
4684986,41
4684988,73
4685004,22
4685013,17
4685646,26
4685647,46
4685648,4
4685650,48
4685653,38
4685654,47
4685658,51
4685659,43
4685662,48
4685664,70
4685671,87
4685673,80
4685681,2
4685683,79
4685685,52
4685686,64
4685687,39
4685802,76
4687377,26
4690766,59
4690767,39
4691165,42
4693724,45
4693725,54
4698718,78
4698719,50
4699440,51
4699760,73
4700527,56
4700530,10
4700841,68
4700859,58
4700876,5
4700877,61
4700880,40
4700968,50
4700971,37
4700973,66
4701030,60
4701125,45
4701156,3
4701160,28
4701187,20
4701189,42
4701190,4
4701217,46
4701222,47
4701266,7
4701543,1
4701841,11
4701846,14
4701998,2
4702000,18
4702026,45
4702042,71
4702046,31
4702049,55
4702083,2
4702097,53
4702120,80
4702158,54
4702212,37
4702218,53
4702226,35
4702236,24
4702464,34
4702467,55
4702484,38
4702497,13
4702518,52
4702522,72
4702596,84
4702598,46
4702626,10
4702629,35
4702654,54
4702671,59
4702680,60
4702696,41
4702739,50
4702740,16
4702741,55
4702764,27
4702765,64
4702777,42
4702784,54
4702889,43
4702960,2
4702961,51
4702962,50
4702975,6
4702976,52
4702988,1
4702993,45
4702994,20
4703009,47
4703011,15
4703097,39
4703106,61
4703115,49
4703155,4
4703169,11
4703194,4
4703196,13
4703205,60
4703215,41
4703253,29
4703393,31
4703396,62
4703399,26
4703411,22
4703415,32
4703526,5
4703531,70
4703572,26
4703637,27
4703644,33
4703670,4
4703804,32
4703805,18
4703833,59
4703837,57
4703887,71
4703893,9
4703899,63
4703910,12
4703912,40
4703977,51
4703980,66
4703983,16
4703998,1
4704015,67
4704078,49
4704080,3
4704086,38
4704090,19
4704109,59
4705371,25
4705373,78
4706147,9
4706237,1
4706260,45
4706262,37
4706275,10
4706561,41
4706918,35
4707019,1
4707481,83
4707808,37
4707906,1
4708176,23
4708219,41
4708533,20
4708534,42
4709133,24
4709140,3
4709141,47
4709142,84
4709150,21
4709319,3
4709320,39
4709321,9
4709424,34
4709454,60
4709991,10
4710354,48
4710358,62
4710359,6
4710427,20
4710770,61
4711118,1
4711255,54
4711256,51
4711257,5
4711258,35
4711259,87
4711260,66
4711262,61
4711264,20
4711266,19
4711267,43
4711270,23
4711271,49
4711273,13
4711274,18
4711279,58
4711280,37
4711281,65
4711295,59
4711296,44
4711303,49
4711304,49
4711306,60
4711400,68
4711402,50
4711691,27
4711705,16
4711758,3
4711838,35
4711900,26
4712244,2
4712656,71
4712832,57
4712834,74
4712835,3
4712836,31
4712837,51
4712838,59
4712843,63
4712845,35
4712846,53
4712848,63
4712862,66
4712865,9
4712866,37
4712893,58
4712902,80
4713885,2
4717737,4
4719433,29
4781728,35
4782965,5
4791227,88
4810230,33
4816087,52
4823976,53
4823977,2
4837238,69
