athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
5322042,2,1.0,1.0,1.0,-inf,0.0
5321157,2,1.0,1.0,1.0,-inf,0.0
4608944,4,1.0,1.0,1.0,-inf,0.0
5112046,2,1.0,1.0,1.0,-inf,0.0
5324530,2,1.0,1.0,1.0,-inf,0.0
5324907,3,1.0,1.0,1.0,-inf,0.0
5318060,3,1.0,1.0,1.0,-inf,0.0
5243201,3,1.0,1.0,1.0,-inf,0.0
5254866,2,1.0,1.0,1.0,-inf,0.0
5319616,3,1.0,1.0,1.0,-inf,0.0
5324258,2,1.0,1.0,1.0,-inf,0.0
5317349,2,1.0,1.0,1.0,-inf,0.0
5329724,2,1.0,1.0,1.0,-inf,0.0
5321130,2,1.0,1.0,1.0,-inf,0.0
4898293,3,1.0,1.0,1.0,-inf,0.0
5105609,2,1.0,1.0,1.0,-inf,0.0
5255534,2,1.0,1.0,1.0,-inf,0.0
5113796,2,1.0,1.0,1.0,-inf,0.0
5259032,3,1.0,1.0,1.0,-inf,0.0
5320837,2,1.0,1.0,1.0,-inf,0.0
5320769,2,1.0,1.0,1.0,-inf,0.0
5116065,2,1.0,1.0,1.0,-inf,0.0
5184764,2,1.0,1.0,1.0,-inf,0.0
5185270,2,1.0,1.0,1.0,-inf,0.0
5314769,2,1.0,1.0,1.0,-inf,0.0
5193247,2,1.0,1.0,1.0,-inf,0.0
5311836,2,1.0,1.0,1.0,-inf,0.0
5322156,2,1.0,1.0,1.0,-inf,0.0
5324675,4,1.0,1.0,1.0,-inf,0.0
5325161,2,1.0,1.0,1.0,-inf,0.0
5314317,2,1.0,1.0,1.0,-inf,0.0
5314311,2,1.0,1.0,1.0,-inf,0.0
5316438,2,1.0,1.0,1.0,-inf,0.0
5181435,2,1.0,1.0,1.0,-inf,0.0
5324577,2,1.0,1.0,1.0,-inf,0.0
5325433,2,1.0,1.0,1.0,-inf,0.0
5108911,2,1.0,1.0,1.0,-inf,0.0
5322663,3,1.0,1.0,1.0,-inf,0.0
5184537,2,1.0,1.0,1.0,-inf,0.0
5323290,2,1.0,1.0,1.0,-inf,0.0
5252357,2,1.0,1.0,1.0,-inf,0.0
4888720,2,1.0,1.0,1.0,-inf,0.0
5316344,3,1.0,1.0,1.0,-inf,0.0
5325190,2,1.0,1.0,1.0,-inf,0.0
4896933,2,1.0,1.0,1.0,-inf,0.0
5241379,2,1.0,1.0,1.0,-inf,0.0
5316294,2,1.0,1.0,1.0,-inf,0.0
5248109,3,1.0,1.0,1.0,-inf,0.0
5318135,2,1.0,1.0,1.0,-inf,0.0
5319804,2,1.0,1.0,1.0,-inf,0.0
5176951,17,0.23529411764705882,0.9230769230769231,0.525,-3.3010594982197627,0.0009632045416030548
5239678,9,0.2222222222222222,0.8571428571428572,1.0,-1.7781040845064005,0.07538676174739381
5262169,7,0.8571428571428571,0.8333333333333334,0.295,-0.47434164902525716,0.6352562959972481
5248104,6,0.8333333333333334,0.8,0.183,-0.3535533905932744,0.7236736098317627
5174983,7,0.2857142857142857,0.8,0.326,-1.443153598094225,0.14897720758262634
5317532,7,0.2857142857142857,0.8,0.047,-1.443153598094225,0.14897720758262634
5241660,7,0.2857142857142857,0.8,0.05,-1.443153598094225,0.14897720758262634
5320255,7,0.2857142857142857,0.8,1.0,-1.443153598094225,0.14897720758262634
5324657,6,0.3333333333333333,0.75,0.05,-1.237436867076458,0.21592493894014042
5259874,6,0.6666666666666666,0.75,0.066,-1.237436867076458,0.21592493894014042
5318116,6,0.3333333333333333,0.75,0.059,-1.237436867076458,0.21592493894014042
5314780,6,0.6666666666666666,0.75,1.0,-1.237436867076458,0.21592493894014042
5325838,6,0.6666666666666666,0.75,0.055,-1.237436867076458,0.21592493894014042
5105819,5,0.8,0.75,1.0,-0.2041241452319317,0.8382564863858261
5107218,7,0.42857142857142855,0.75,1.0,-1.6371154689952476,0.10160634497555665
4897196,5,0.8,0.75,0.2,-0.2041241452319317,0.8382564863858261
5324534,6,0.3333333333333333,0.75,0.069,-1.237436867076458,0.21592493894014042
5325941,6,0.3333333333333333,0.75,0.074,-1.237436867076458,0.21592493894014042
5242124,8,0.5,0.75,0.331,-1.9094065395649336,0.0562096678311911
