athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
3159685,Sam Berlin,2272,High Point Panthers,159.6053,58.0357,101.5696,105.3518,98.8528,6.499,95.0706,,,,,,,,0.6429,0.6429,,0.0,0.2571,0.7222,0.3256,0.3256,,0.0,0.9032,0.5714,41.6667,23.2153,4.4643,68.92,67.2,819.16,819.4,110.0,39.0,863.0,810.0,70.0,45.0,0.0,0.0,43.0,14.0,0.0,0.0,16.0,28.0,3.0,12.0
4280120,Keve Aluma,2747,Wofford Terriers,145.2514,62.6392,82.6122,104.5846,100.0103,4.5743,78.0379,,,,,,,,0.6316,0.6316,,0.0,0.2632,0.8,0.3333,0.3333,,0.0,0.8947,0.2174,47.3274,6.9832,5.5679,71.6,71.84,1943.88,1939.8,104.0,45.0,2033.0,1940.0,57.0,36.0,0.0,0.0,51.0,17.0,0.0,0.0,5.0,34.0,4.0,18.0
4067793,Kiir Deng,2433,UL Monroe Warhawks,146.3964,65.1558,81.2406,105.0774,101.4236,3.6537,77.5869,,,,,,,,0.6029,0.6029,,0.0,0.2353,0.6875,0.3696,0.3696,,0.0,0.7,0.6071,29.745,23.9302,12.7479,71.04,70.6,974.52,972.16,104.0,46.0,1024.0,986.0,68.0,41.0,0.0,0.0,46.0,17.0,0.0,0.0,17.0,21.0,9.0,11.0
4066940,Brendan Rumel,2502,Portland State Vikings,141.0835,56.0538,85.0297,111.0719,97.532,13.5399,71.4898,,,,,,,,0.5698,0.5698,,0.0,0.1744,0.9333,0.3443,0.3443,,0.0,0.6923,0.4054,30.2691,16.93,13.4529,88.6,89.2,567.2,572.12,125.0,50.0,630.0,558.0,86.0,49.0,0.0,0.0,61.0,21.0,0.0,0.0,15.0,27.0,12.0,22.0
3138574,Christian Mekowulu,2634,Tennessee State Tigers,94.3479,91.3142,3.0337,71.599,139.2078,-67.6088,70.6425,,,,,,,,0.4278,0.4278,,0.0,0.4157,0.7349,0.4203,0.4203,,0.0,0.7283,0.2687,35.7174,13.266,13.3258,1816.68,1831.04,67.04,69.68,1714.0,1672.0,48.0,97.0,1316.0,563.0,0.0,0.0,1323.0,556.0,0.0,0.0,241.0,654.0,244.0,656.0
4067639,Aaron Weidenaar,2110,Central Arkansas Bears,133.7838,67.7111,66.0727,103.4598,104.2575,-0.7977,66.8704,,,,,,,,0.5588,0.5588,,0.0,0.3676,0.72,0.2593,0.2593,,0.0,0.7143,0.4242,39.8301,18.9189,15.932,74.0,75.32,1615.12,1605.64,99.0,51.0,1671.0,1674.0,68.0,38.0,0.0,0.0,54.0,14.0,0.0,0.0,14.0,30.0,12.0,19.0
4279451,Marreon Jackson,2649,Toledo Rockets,115.3457,104.8186,10.5271,79.9779,132.1586,-52.1807,62.7077,,,,,,,,0.4717,0.4717,,0.0,0.3718,0.7315,0.4281,0.4281,,0.0,0.719,0.282,40.279,13.8321,15.7391,2132.72,2147.52,72.52,72.64,2460.0,2251.0,58.0,96.0,1783.0,841.0,0.0,0.0,1974.0,845.0,0.0,0.0,295.0,865.0,338.0,751.0
4283415,Dominique Washington,111166,Midway Eagles,70.9579,117.2655,-46.3075,54.4959,162.9571,-108.4612,62.1536,,,,,,,,0.3125,0.3125,,0.0,0.2812,0.5,0.5522,0.5522,,0.0,0.75,0.2391,29.9401,13.9382,9.98,78.92,80.16,73.4,75.48,56.0,94.0,40.0,123.0,64.0,20.0,0.0,0.0,67.0,37.0,0.0,0.0,11.0,24.0,8.0,35.0
4072862,Alec Lewis,2689,Washington College (MD) Shoremen,99.0538,129.1352,-30.0814,61.2078,152.5236,-91.3157,61.2343,,,,,,,,0.4483,0.4483,,0.0,0.1034,1.0,0.5517,0.5517,,0.0,0.8148,0.3125,31.9211,14.7842,7.2548,67.64,68.92,73.52,72.12,67.0,89.0,45.0,110.0,58.0,26.0,0.0,0.0,58.0,32.0,0.0,0.0,10.0,22.0,5.0,22.0
4282822,Tommie Luke,2691,Webber International Warriors,92.7655,108.7974,-16.0319,67.1942,143.9081,-76.7139,60.682,,,,,,,,0.4275,0.4275,,0.0,0.2672,0.8286,0.4859,0.4859,,0.0,0.6854,0.1842,35.6809,8.168,16.3781,171.4,170.96,159.24,154.96,159.0,186.0,107.0,223.0,131.0,56.0,0.0,0.0,142.0,69.0,0.0,0.0,14.0,61.0,28.0,62.0
