athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
3906969,Tyler Hamilton,2729,William & Mary Tribe,126.8561,99.9848,26.8713,0.0,110.0104,-110.0104,136.8817,,,,,,,,0.6326,0.6326,,0.0,0.1922,0.7984,0.4307,0.4307,,0.0,0.5836,0.2029,20.8499,10.0492,14.8793,845.84,1055.16,65.68,191.8,1073.0,1055.0,0.0,211.0,645.0,408.0,0.0,0.0,887.0,382.0,0.0,0.0,85.0,220.0,157.0,334.0
4067435,Bryce Barnes,2729,William & Mary Tribe,128.6423,99.503,29.1393,0.0,106.4736,-106.4736,135.6129,,,,,,,,0.559,0.559,,0.0,0.147,0.7822,0.4446,0.4446,,0.0,0.562,0.1789,18.6389,9.4286,14.5288,774.24,1046.2,72.16,70.44,996.0,1041.0,0.0,75.0,687.0,384.0,0.0,0.0,875.0,389.0,0.0,0.0,73.0,195.0,152.0,335.0
4277938,Greg Eboigbodin,111,Northeastern Huskies,89.0117,0.0,89.0117,109.7688,101.5762,8.1927,80.819,,,,,,,,0.4615,0.4615,,0.0,0.2692,0.5,0.0,0.0,,0.0,1.0,1.0,41.1084,13.8122,0.0,65.16,65.68,1187.04,1190.24,58.0,0.0,1303.0,1209.0,52.0,24.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,27.0,0.0,0.0
4067446,Dantez Walton,94,Northern Kentucky Norse,106.2483,92.8936,13.3547,62.7921,103.4985,-40.7065,54.0612,,,,,,,,0.4082,0.4082,,0.0,0.3562,0.6979,0.3925,0.3925,,0.0,0.6879,0.3436,37.6551,20.4836,17.0858,600.48,602.84,68.48,68.6,638.0,560.0,43.0,71.0,539.0,220.0,0.0,0.0,507.0,199.0,0.0,0.0,123.0,227.0,103.0,235.0
4592877,Drew Lakey,295,Old Dominion Monarchs,118.2432,83.4276,34.8156,82.3369,101.3296,-18.9927,53.8084,,,,,,,,0.4925,0.4925,,0.0,0.2388,0.6875,0.3279,0.3279,,0.0,0.8095,0.3784,48.0769,19.7072,11.3122,71.04,70.72,190.68,186.52,84.0,59.0,157.0,189.0,67.0,33.0,0.0,0.0,61.0,20.0,0.0,0.0,14.0,34.0,8.0,23.0
4397050,David Serge,25,California Golden Bears,121.9512,115.5647,6.3866,75.5375,121.7805,-46.243,52.6296,,,,,,,,0.4394,0.4394,,0.0,0.5,0.7879,0.5,0.5,,0.0,0.6176,0.5,30.7197,31.1968,19.017,70.52,68.36,68.84,71.44,86.0,79.0,52.0,87.0,66.0,29.0,0.0,0.0,58.0,29.0,0.0,0.0,22.0,21.0,13.0,22.0
4066396,Tino Malnati,77,Northwestern Wildcats,117.4398,95.1987,22.2411,81.6913,111.3886,-29.6974,51.9385,,,,,,,,0.4643,0.4643,,0.0,0.4107,0.7391,0.3286,0.3286,,0.0,0.7234,0.1818,46.9095,8.808,17.936,68.12,72.48,403.96,400.4,80.0,69.0,330.0,446.0,56.0,26.0,0.0,0.0,70.0,23.0,0.0,0.0,6.0,34.0,13.0,27.0
4592267,Chris Harris Jr.,197,Oklahoma State Cowboys,117.1875,89.3417,27.8458,86.963,109.27,-22.307,50.1528,,,,,,,,0.4286,0.4286,,0.0,0.4643,0.6923,0.3704,0.3704,,0.0,0.5366,0.425,34.4828,27.6693,29.7806,61.44,63.8,533.56,529.88,72.0,57.0,464.0,579.0,56.0,24.0,0.0,0.0,54.0,20.0,0.0,0.0,17.0,22.0,19.0,23.0
4592435,Branden Carlson,254,Utah Utes,101.6577,111.7174,-10.0597,83.4939,141.5681,-58.0742,48.0145,,,,,,,,0.4282,0.4282,,0.0,0.3329,0.7308,0.4715,0.4715,,0.0,0.7126,0.3385,35.8672,17.9465,14.4645,846.96,850.36,62.28,64.28,861.0,950.0,52.0,91.0,703.0,301.0,0.0,0.0,736.0,347.0,0.0,0.0,152.0,305.0,123.0,297.0
3936175,Matt Hauser,2502,Portland State Vikings,111.1669,104.6294,6.5374,69.3431,109.4233,-40.0802,46.6176,,,,,,,,0.4646,0.4646,,0.0,0.2833,0.745,0.4769,0.4769,,0.0,0.6158,0.3489,30.5432,18.6951,19.058,797.0,792.32,82.2,77.68,886.0,829.0,57.0,85.0,706.0,328.0,0.0,0.0,650.0,310.0,0.0,0.0,149.0,242.0,151.0,278.0
4279209,Antanee Pinkard,256,James Madison Dukes,104.499,61.8772,42.6218,96.5128,99.5225,-3.0097,45.6315,,,,,,,,0.4537,0.4537,,0.0,0.1759,0.7368,0.5,0.5,,0.0,0.8298,0.4359,31.3404,13.5609,6.4288,125.36,124.44,846.52,846.04,131.0,77.0,817.0,842.0,108.0,49.0,0.0,0.0,60.0,30.0,0.0,0.0,17.0,39.0,8.0,22.0
4279244,Jaylen Minnett,85,IUPUI Jaguars,102.8291,112.9254,-10.0962,87.0253,141.3333,-54.308,44.2118,,,,,,,,0.421,0.421,,0.0,0.3505,0.6675,0.4632,0.4632,,0.0,0.6453,0.3275,33.725,18.7381,18.5411,1302.16,1310.6,75.84,75.0,1339.0,1480.0,66.0,106.0,1107.0,466.0,0.0,0.0,1155.0,535.0,0.0,0.0,244.0,442.0,243.0,501.0
3906672,Grant Weatherford,85,IUPUI Jaguars,102.8291,112.9254,-10.0962,87.0253,141.3333,-54.308,44.2118,,,,,,,,0.421,0.421,,0.0,0.3505,0.6675,0.4632,0.4632,,0.0,0.6453,0.3275,33.725,18.7381,18.5411,1302.16,1310.6,75.84,75.0,1339.0,1480.0,66.0,106.0,1107.0,466.0,0.0,0.0,1155.0,535.0,0.0,0.0,244.0,442.0,243.0,501.0
4067044,Ross Owens,2623,Missouri State Bears,111.0827,96.379,14.7037,98.4576,127.9571,-29.4995,44.2033,,,,,,,,0.4643,0.4643,,0.0,0.2873,0.7458,0.4416,0.4416,,0.0,0.8157,0.3559,38.5516,17.8754,8.7098,704.88,700.36,267.12,268.84,783.0,675.0,263.0,344.0,616.0,286.0,0.0,0.0,514.0,227.0,0.0,0.0,126.0,270.0,61.0,228.0
4398378,Tyler Thompson,2635,Tennessee Tech Golden Eagles,110.4543,99.9355,10.5187,84.9165,118.5771,-33.6606,44.1793,,,,,,,,0.5,0.5,,0.0,0.2308,0.8333,0.35,0.35,,0.0,0.6429,0.25,43.5203,10.8899,24.1779,64.28,62.04,69.48,70.84,71.0,62.0,59.0,84.0,52.0,26.0,0.0,0.0,60.0,21.0,0.0,0.0,7.0,27.0,15.0,21.0
4067731,Armel TeTe,2506,Presbyterian Blue Hose,108.2005,91.1897,17.0108,105.0558,131.4935,-26.4377,43.4485,,,,,,,,0.4727,0.4727,,0.0,0.3818,0.8571,0.3793,0.3793,,0.0,0.8333,0.2188,42.0875,9.9658,8.4175,70.24,71.28,60.92,61.6,76.0,65.0,64.0,81.0,55.0,26.0,0.0,0.0,58.0,22.0,0.0,0.0,7.0,30.0,6.0,25.0
4592297,Rob Perry,56,Stetson Hatters,102.0935,100.3455,1.7479,82.5472,123.9536,-41.4065,43.1544,,,,,,,,0.4695,0.4695,,0.0,0.3422,0.6744,0.4182,0.4182,,0.0,0.7154,0.329,38.0694,16.2275,15.1425,930.52,937.76,59.36,62.12,950.0,941.0,49.0,77.0,754.0,354.0,0.0,0.0,782.0,327.0,0.0,0.0,151.0,357.0,142.0,308.0
