athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5175737,9.79,9.44,19.24,1755.6,Yaxel Lendeborg,Michigan Wolverines,F
5105571,7.46,9.96,17.43,1531.13,Henri Veesaar,North Carolina Tar Heels,C
4711255,9.94,7.43,17.37,1665.3,Jeremy Fears Jr.,Michigan State Spartans,G
5041935,10.72,6.61,17.34,1846.49,Cameron Boozer,Duke Blue Devils,F
5044426,6.78,10.09,16.87,1753.65,Flory Bidunga,Kansas Jayhawks,F
5105837,10.35,5.13,15.48,1964.05,Bruce Thornton,Ohio State Buckeyes,G
4917097,10.78,4.56,15.34,1461.67,Robbie Avila,Saint Louis Billikens,C
5254165,10.28,4.62,14.89,1746.17,Keaton Wagler,Illinois Fighting Illini,G
5174665,6.69,7.82,14.51,895.49,Zvonimir Ivisic,Illinois Fighting Illini,C
4848637,7.94,6.17,14.11,1686.59,Milan Momcilovic,Iowa State Cyclones,F
5241364,8.47,5.63,14.1,1884.45,Bennett Stirtz,Iowa Hawkeyes,G
4702049,8.6,5.45,14.04,1346.47,Duke Miles,Vanderbilt Commodores,G
5105401,8.44,5.59,14.03,1709.86,MJ Collins Jr.,Utah State Aggies,G
4683860,9.41,4.59,14.0,1535.1,Quadir Copeland,NC State Wolfpack,G
5105809,6.69,7.28,13.97,1220.49,Tarris Reed Jr.,UConn Huskies,C
4684276,11.08,2.86,13.94,1415.79,Aden Holloway,Alabama Crimson Tide,G
5109789,7.54,6.34,13.87,1401.89,Jake Ensminger,Santa Clara Broncos,G
5082206,7.12,6.75,13.87,1656.03,Brayden Burries,Arizona Wildcats,G
4897432,5.16,8.68,13.84,1654.66,Sam Hoiberg,Nebraska Cornhuskers,G
4858604,7.71,5.93,13.64,1736.96,Pryce Sandfort,Nebraska Cornhuskers,F
5183875,7.31,6.33,13.64,1886.6,Joshua Dent,Saint Mary's Gaels,G
4870564,7.47,5.96,13.43,1798.23,Joshua Jefferson,Iowa State Cyclones,F
5241658,7.68,5.69,13.38,1641.62,DeSean Goode,Robert Morris Colonials,F
5150404,9.47,3.8,13.27,1333.9,Chance Mallory,Virginia Cavaliers,G
5041953,5.57,7.68,13.26,1416.6,Koa Peat,Arizona Wildcats,F
5107968,10.44,2.81,13.25,1876.26,Ja'Kobi Gillespie,Tennessee Volunteers,G
5149077,10.55,2.53,13.08,1688.99,Kingston Flemings,Houston Cougars,G
5113969,9.03,4.05,13.08,1838.09,Cameron Carr,Baylor Bears,G
5174983,4.26,8.73,12.99,1343.46,Aday Mara,Michigan Wolverines,C
5238195,7.44,5.55,12.98,1715.38,Boogie Fland,Florida Gators,G
5174971,3.98,8.92,12.9,1424.6,Rueben Chinyelu,Florida Gators,C
4873209,3.73,9.15,12.89,1071.36,Patrick Ngongba II,Duke Blue Devils,C
5107251,4.56,8.03,12.59,1590.13,Izaiyah Nelson,South Florida Bulls,F
5238203,6.1,6.46,12.55,1209.08,Somtochukwu Cyril,Georgia Bulldogs,C
5174954,2.06,10.22,12.27,1413.23,Motiejus Krivas,Arizona Wildcats,C
5105847,6.89,5.25,12.14,1650.01,Evan Mahaffey,Akron Zips,G
5176084,5.02,7.12,12.14,1014.9,Cam Cole,Navy Midshipmen,G
5106058,4.26,7.71,11.97,1556.39,Emanuel Sharp,Houston Cougars,G
5314778,6.2,5.74,11.93,1775.86,Trevian Carson,North Dakota State Bison,G
5105794,8.13,3.79,11.93,990.06,Skyy Clark,UCLA Bruins,G
5281370,6.6,5.31,11.91,1675.09,Hannes Steinbach,Washington Huskies,F
4870569,3.62,8.27,11.9,1534.95,Duke Brennan,Villanova Wildcats,F
4896936,3.44,8.45,11.89,1462.39,Damon Nicholas Jr.,Sam Houston Bearkats,G
5174672,8.18,3.69,11.87,1219.4,Michael Belle,VCU Rams,F
5107355,7.84,3.99,11.83,1854.1,Donovan Atwell,Texas Tech Red Raiders,G
5105449,5.26,6.56,11.83,1338.56,RJ Godfrey,Clemson Tigers,F
4683147,3.19,8.62,11.81,1121.0,Jalen Warley,Gonzaga Bulldogs,G
5142718,8.25,3.51,11.76,1922.08,AJ Dybantsa,BYU Cougars,F
4684155,7.47,4.27,11.74,1726.1,John Camden,California Golden Bears,F
5105853,5.53,6.21,11.73,1652.19,Fletcher Loyer,Purdue Boilermakers,G
4837356,7.96,3.75,11.71,1848.13,Tre Donaldson,Miami Hurricanes,G
5315806,5.02,6.69,11.7,867.4,Tristan Smith,Northern Iowa Panthers,F
5107298,8.53,3.16,11.69,1699.93,Donovan Oday,Northern Kentucky Norse,G
5075626,3.65,8.02,11.67,1656.43,Baba Miller,Cincinnati Bearcats,F
5240387,7.35,4.28,11.63,1141.64,Tyler Behrend,Tulsa Golden Hurricane,F
4873183,4.51,7.12,11.62,679.29,Kam Williams,Kentucky Wildcats,G
4432737,6.14,5.46,11.61,1731.03,Jaden Bradley,Arizona Wildcats,G
5258459,8.21,3.4,11.61,1735.62,Ebuka Okorie,Stanford Cardinal,G
5174973,8.19,3.36,11.55,1337.14,Oscar Cluff,Purdue Boilermakers,C
5106262,5.4,6.14,11.54,1729.75,Zuby Ejiofor,St. John's Red Storm,F
5060701,9.18,2.35,11.52,1979.66,Christian Anderson,Texas Tech Red Raiders,G
5242999,6.65,4.85,11.5,1465.07,Andrija Bukumirovic,UT Martin Skyhawks,F
5241415,5.77,5.72,11.5,1708.47,Nolan Minessale,St. Thomas-Minnesota Tommies,G
5239821,4.9,6.58,11.48,1458.94,Martin Somerville,Florida State Seminoles,G
4917161,6.76,4.62,11.38,1711.02,Armani Mighty,Mercer Bears,C
5175787,4.58,6.79,11.37,1678.2,Mahmoud Fofana,Cal State Northridge Matadors,F
5106880,5.93,5.43,11.36,1453.4,Jestin Porter,Clemson Tigers,G
5060700,4.55,6.8,11.35,1239.77,Joseph Tugler,Houston Cougars,F
5105619,5.6,5.67,11.27,1647.73,Jayden Pierre,TCU Horned Frogs,G
4698719,6.82,4.45,11.27,1820.18,Trevon Brazile,Arkansas Razorbacks,F
4702784,7.11,4.12,11.23,1533.97,J'Vonne Hadley,Louisville Cardinals,G
4895783,5.43,5.79,11.23,1561.68,Nolan Winter,Wisconsin Badgers,F
4837238,5.68,5.53,11.22,1751.3,Tucker DeVries,Indiana Hoosiers,F
5105462,6.84,4.35,11.19,1280.17,Richie Saunders,BYU Cougars,G
5093250,5.0,6.11,11.11,882.52,Jordan Clayton,Northwestern Wildcats,G
4895753,5.17,5.94,11.11,862.47,Jayden Ross,UConn Huskies,F
5061585,6.84,4.19,11.03,1565.21,Isaiah Evans,Duke Blue Devils,G
4898283,7.51,3.45,10.97,1953.37,Boopie Miller,SMU Mustangs,G
5037878,2.59,8.36,10.94,979.1,Ugonna Onyenso,Virginia Cavaliers,C
5177104,2.39,8.55,10.94,1389.35,Jasper Floyd,West Virginia Mountaineers,G
5176300,6.11,4.82,10.93,1751.04,Quinn Denker,Northern Colorado Bears,G
5095151,6.31,4.6,10.91,1236.94,Caleb Wilson,North Carolina Tar Heels,F
5105854,9.45,1.44,10.9,1916.56,Braden Smith,Purdue Boilermakers,G
5060727,5.7,5.19,10.89,1631.0,Tyler Thompson,Montana Grizzlies,G
4703396,6.45,4.42,10.87,1508.67,Graham Ike,Gonzaga Bulldogs,F
5054083,7.71,3.15,10.86,1611.53,Silas Demary Jr.,UConn Huskies,G
5109020,6.03,4.77,10.8,1335.83,Carter Bjerke,St. Thomas-Minnesota Tommies,F
4683680,7.25,3.51,10.76,1644.14,Chance Westry,UAB Blazers,G
5105815,5.04,5.7,10.73,1433.83,Jaxon Kohler,Michigan State Spartans,F
5175591,6.77,3.85,10.62,1371.29,C.J. Cox,Purdue Boilermakers,G
5241360,6.61,4.0,10.61,1613.78,Jaquan Johnson,Bradley Braves,G
4896862,3.79,6.81,10.59,793.45,Ali Dibba,Texas A&M Aggies,G
5174661,7.74,2.86,10.59,1554.58,Blue Cain,Georgia Bulldogs,G
5041954,4.88,5.68,10.55,1281.53,Trey McKenney,Michigan Wolverines,G
5176241,4.76,5.78,10.55,1204.55,BJ Davis,San Diego State Aztecs,G
5105857,5.3,5.23,10.53,1155.79,Will Berg,Wichita State Shockers,C
5093142,6.69,3.82,10.51,848.82,J.P. Estrella,Tennessee Volunteers,F
4702739,4.63,5.87,10.5,688.79,Aly Khalifa,Louisville Cardinals,C
