athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5175737,7.83,7.65,15.48,1755.6,Yaxel Lendeborg,Michigan Wolverines,F
5105571,5.6,8.29,13.9,1531.13,Henri Veesaar,North Carolina Tar Heels,C
5044426,5.23,8.0,13.23,1753.65,Flory Bidunga,Kansas Jayhawks,F
5105401,6.98,5.85,12.84,1709.86,MJ Collins Jr.,Utah State Aggies,G
5041935,7.36,4.9,12.27,1846.49,Cameron Boozer,Duke Blue Devils,F
4917097,8.7,3.54,12.24,1461.67,Robbie Avila,Saint Louis Billikens,C
5254165,8.13,3.86,11.99,1746.17,Keaton Wagler,Illinois Fighting Illini,G
5041953,4.88,7.02,11.9,1416.6,Koa Peat,Arizona Wildcats,F
5238195,6.92,4.91,11.83,1715.38,Boogie Fland,Florida Gators,G
4848637,5.41,6.07,11.48,1686.59,Milan Momcilovic,Iowa State Cyclones,F
4896936,3.48,7.94,11.42,1462.39,Damon Nicholas Jr.,Sam Houston Bearkats,G
5109789,6.08,5.19,11.27,1401.89,Jake Ensminger,Santa Clara Broncos,G
4711255,5.72,5.54,11.26,1665.3,Jeremy Fears Jr.,Michigan State Spartans,G
5082206,5.37,5.81,11.18,1656.03,Brayden Burries,Arizona Wildcats,G
5241364,6.19,4.88,11.08,1884.45,Bennett Stirtz,Iowa Hawkeyes,G
4858604,5.64,5.42,11.06,1736.96,Pryce Sandfort,Nebraska Cornhuskers,F
5183875,5.45,5.49,10.94,1886.6,Joshua Dent,Saint Mary's Gaels,G
4684276,8.43,2.47,10.9,1415.79,Aden Holloway,Alabama Crimson Tide,G
5174672,8.01,2.7,10.71,1219.4,Michael Belle,VCU Rams,F
5176084,4.02,6.68,10.69,1014.9,Cam Cole,Navy Midshipmen,G
5174665,5.65,5.0,10.65,895.49,Zvonimir Ivisic,Illinois Fighting Illini,C
5105853,4.45,6.16,10.61,1652.19,Fletcher Loyer,Purdue Boilermakers,G
5240387,7.22,3.36,10.58,1141.64,Tyler Behrend,Tulsa Golden Hurricane,F
5314778,5.68,4.8,10.48,1775.86,Trevian Carson,North Dakota State Bison,G
5241658,5.9,4.54,10.44,1641.62,DeSean Goode,Robert Morris Colonials,F
5106880,5.47,4.84,10.31,1453.4,Jestin Porter,Clemson Tigers,G
5105837,6.82,3.49,10.31,1964.05,Bruce Thornton,Ohio State Buckeyes,G
4683860,7.3,2.98,10.28,1535.1,Quadir Copeland,NC State Wolfpack,G
4870564,6.0,4.28,10.28,1798.23,Joshua Jefferson,Iowa State Cyclones,F
4702049,6.46,3.76,10.22,1346.47,Duke Miles,Vanderbilt Commodores,G
5107968,8.44,1.78,10.22,1876.26,Ja'Kobi Gillespie,Tennessee Volunteers,G
5150404,7.57,2.59,10.16,1333.9,Chance Mallory,Virginia Cavaliers,G
5113969,7.0,3.14,10.15,1838.09,Cameron Carr,Baylor Bears,G
5287474,2.92,7.23,10.14,1260.45,Dame Sarr,Duke Blue Devils,G
5105619,4.68,5.35,10.03,1647.73,Jayden Pierre,TCU Horned Frogs,G
5061585,6.0,4.02,10.02,1565.21,Isaiah Evans,Duke Blue Devils,G
5060727,5.25,4.77,10.02,1631.0,Tyler Thompson,Montana Grizzlies,G
4897432,3.35,6.63,9.98,1654.66,Sam Hoiberg,Nebraska Cornhuskers,G
5105847,6.3,3.62,9.92,1650.01,Evan Mahaffey,Akron Zips,G
5106058,2.64,7.25,9.89,1556.39,Emanuel Sharp,Houston Cougars,G
4683147,2.57,7.24,9.81,1121.0,Jalen Warley,Gonzaga Bulldogs,G
5174971,3.3,6.5,9.79,1424.6,Rueben Chinyelu,Florida Gators,C
5175591,6.39,3.3,9.69,1371.29,C.J. Cox,Purdue Boilermakers,G
5109020,4.83,4.84,9.67,1335.83,Carter Bjerke,St. Thomas-Minnesota Tommies,F
5105794,6.55,3.12,9.66,990.06,Skyy Clark,UCLA Bruins,G
5107355,6.23,3.43,9.66,1854.1,Donovan Atwell,Texas Tech Red Raiders,G
4838721,7.09,2.52,9.62,1805.85,Tyler Nickel,Vanderbilt Commodores,F
4895753,4.48,5.12,9.61,862.47,Jayden Ross,UConn Huskies,F
4873183,3.2,6.33,9.54,679.29,Kam Williams,Kentucky Wildcats,G
4684155,5.85,3.62,9.47,1726.1,John Camden,California Golden Bears,F
5239821,3.93,5.54,9.46,1458.94,Martin Somerville,Florida State Seminoles,G
4837238,5.18,4.26,9.43,1751.3,Tucker DeVries,Indiana Hoosiers,F
5041954,3.74,5.65,9.39,1281.53,Trey McKenney,Michigan Wolverines,G
5105809,5.0,4.36,9.37,1220.49,Tarris Reed Jr.,UConn Huskies,C
5174954,1.21,8.15,9.36,1413.23,Motiejus Krivas,Arizona Wildcats,C
4917161,6.27,3.07,9.34,1711.02,Armani Mighty,Mercer Bears,C
4432737,4.74,4.6,9.34,1731.03,Jaden Bradley,Arizona Wildcats,G
