team_id,team_display_name,off_eff,def_eff,net_eff,pace,adj_off,adj_def,adj_net_eff,sos_opp_off,sos_opp_def,sos_overall,sos_rank,elo_rating,wins,games,losses,win_pct,composite_score,rank_adj_eff,rank_elo,rank_composite
150,Duke Blue Devils,122.92,93.91,29.02,67.1,130.3206137632067,85.03518168396083,45.285432079245865,118.90815434890749,98.50544540216971,20.40270894673776,18.0,1735.2677766512481,32,34,2,0.9411764705882353,34.40610487218534,2.0,1.0,1.0
12,Arizona Wildcats,120.82,95.69,25.12,71.6,129.623832460741,84.60391055602611,45.01992190471489,119.3720341250912,98.69890896100571,20.673125164085477,15.0,1730.5809804432663,32,34,2,0.9411764705882353,34.03900997452076,3.0,2.0,2.0
130,Michigan Wolverines,120.73,97.08,23.65,71.6,130.50214035876226,84.43439053426626,46.067749824496005,121.73805905067513,97.81251602798498,23.925543022690135,4.0,1714.5646723517596,31,34,3,0.9117647058823529,33.762108529835984,1.0,3.0,3.0
57,Florida Gators,120.27,98.95,21.33,72.46,127.70849952276353,87.07150787058231,40.63699165218122,120.85448826304571,99.7197729448528,21.13471531819292,11.0,1662.6193244563297,26,33,7,0.7878787878787878,28.449462048907094,4.0,15.0,4.0
248,Houston Cougars,118.08,96.78,21.3,65.14,126.7286963970112,86.40908693884799,40.319609458163214,118.87187079570647,98.97441416139091,19.897456634315557,22.0,1663.9199154383612,28,34,6,0.8235294117647058,28.355800500999663,5.0,13.0,5.0
2509,Purdue Boilermakers,124.61,107.11,17.5,65.51,134.35779421505788,95.09520498823575,39.26258922682213,120.78543188953273,97.92501692570491,22.860414963827832,7.0,1649.4920671841119,27,35,8,0.7714285714285715,27.10589797261666,6.0,18.0,6.0
2599,St. John's Red Storm,114.56,98.17,16.39,71.24,123.92719375399854,88.35137544122006,35.57581831277848,117.69405332435069,98.84013448152709,18.85391884282361,29.0,1682.2710609820433,28,34,6,0.8235294117647058,26.901462205491406,11.0,7.0,7.0
2250,Gonzaga Bulldogs,120.81,93.17,27.64,70.65,123.22671656971315,89.0352649383943,34.19145163131884,114.78966946369003,103.09384348192525,11.695825981764777,98.0,1692.7692598495007,30,33,3,0.9090909090909091,26.734188808134455,16.0,5.0,8.0
41,UConn Huskies,116.44,97.94,18.49,66.52,125.18792897024287,88.4686878487687,36.71924112147417,117.33160318520589,98.98845284721052,18.343150337995365,37.0,1666.7516376201665,29,34,5,0.8529411764705882,26.69720244174541,10.0,10.0,9.0
258,Virginia Cavaliers,119.22,100.85,18.37,67.74,126.2702598153134,91.39900422056009,34.87125559475331,117.4322191618197,101.20641597316666,16.225803188653032,69.0,1684.886829692302,29,34,5,0.8529411764705882,26.679969281991752,14.0,6.0,10.0
66,Iowa State Cyclones,119.63,95.82,23.81,68.18,126.95505283804417,88.15439499487164,38.80065784317253,117.14444381574401,99.2890670274861,17.855376788257935,45.0,1642.8526400718893,27,34,7,0.7941176470588235,26.54296092518073,7.0,22.0,11.0
356,Illinois Fighting Illini,125.22,104.05,21.17,67.24,132.8335854319923,94.08407590128526,38.749509530707044,119.24445079619179,99.15140700768734,20.09304378850444,20.0,1622.138986979892,24,32,8,0.75,25.481704114348123,8.0,36.0,12.0
127,Michigan State Spartans,117.1,101.86,15.24,67.28,125.59918989664857,88.78900989893575,36.81017999771282,120.6891615416144,99.67852143723793,21.01064010437647,12.0,1635.4751993996153,25,32,7,0.78125,25.178849968837177,9.0,24.0,13.0
8,Arkansas Razorbacks,122.8,108.81,13.99,73.42,131.1945860816178,96.0009891834079,35.19359689820992,120.52850629515126,100.13171705327026,20.396789241881,19.0,1650.0019719664936,26,34,8,0.7647058823529411,25.096897047429636,12.0,17.0,14.0
158,Nebraska Cornhuskers,114.59,97.16,17.43,67.8,121.76187377561291,87.01086587760156,34.75100789801135,118.29538780763484,100.64675142801569,17.648636379619152,48.0,1633.279059857075,26,32,6,0.8125,24.039456941859427,15.0,26.0,15.0
238,Vanderbilt Commodores,121.22,105.33,15.89,71.32,128.8352856064887,95.04645750879077,33.78882809769793,119.37237689359165,99.96701721329121,19.405359680300442,27.0,1630.3781474068996,26,34,8,0.7647058823529411,23.41332141919395,18.0,27.0,16.0
333,Alabama Crimson Tide,122.17,110.92,11.25,75.16,132.0301581061304,97.05479889178652,34.97535921434387,121.45047649075254,98.56494418856816,22.885532302184377,6.0,1616.2469425780866,23,32,9,0.71875,23.300026736076266,13.0,40.0,17.0
2608,Saint Mary's Gaels,118.45,96.41,22.04,66.49,122.5118950343988,93.13761340143782,29.374281632960987,112.54331445362772,102.69058398154493,9.852730472082785,110.0,1665.2969744370598,27,32,5,0.84375,22.951989538333486,29.0,12.0,18.0
2305,Kansas Jayhawks,110.07,100.86,9.21,68.76,121.35692358701971,88.49964709788222,32.85727648913749,120.35178648641715,96.4268893763195,23.92489711009766,5.0,1615.537062236886,23,33,10,0.696969696969697,22.20549135641304,20.0,41.0,19.0
2641,Texas Tech Red Raiders,117.96,106.42,11.54,68.2,127.77135465912878,93.90022842882348,33.87112623030529,120.77247566756132,98.19622734127199,22.576248326289328,8.0,1605.1472959028956,22,32,10,0.6875,22.192927910297428,17.0,48.0,20.0
328,Utah State Aggies,120.34,102.06,18.28,68.76,125.37878922456717,97.10219215478313,28.276597069784046,114.20338631459471,102.15581509284823,12.047571221746486,96.0,1657.3110837619633,28,34,6,0.8235294117647058,22.00385272299019,32.0,16.0,21.0
153,North Carolina Tar Heels,116.27,103.42,12.85,68.79,124.52855043034158,94.11580897201206,30.41274145832952,117.81289131101008,99.35116963544785,18.46172167556223,35.0,1625.3270298209704,24,32,8,0.75,21.47272222021328,24.0,32.0,22.0
139,Saint Louis Billikens,121.27,96.4,24.86,72.03,124.18977900033659,96.09065973558609,28.0991192647505,109.75924893888083,104.13419595751904,5.625052981361794,149.0,1648.022491932846,28,33,5,0.8484848484848485,21.450684229017547,33.0,20.0,23.0
275,Wisconsin Badgers,118.76,108.71,10.05,69.86,127.96570917255806,97.32202639393057,30.643682778627493,119.40513588876718,98.9693184913618,20.435817397405373,17.0,1621.5274386791023,24,34,10,0.7058823529411765,21.39821332326886,23.0,37.0,24.0
97,Louisville Cardinals,119.19,101.9,17.29,70.97,126.08100774184582,94.21415079529349,31.866856946552332,117.56253222454947,99.39179860418783,18.170733620361645,42.0,1604.6877186169736,23,33,10,0.696969696969697,21.167814404124847,22.0,49.0,25.0
2633,Tennessee Volunteers,116.85,101.88,14.97,68.04,123.97037497856994,90.36490218663408,33.60547279193585,120.26346053639827,100.83291590369339,19.430544632704873,26.0,1585.8574598807354,22,33,11,0.6666666666666666,21.095609390004697,19.0,65.0,26.0
2670,VCU Rams,117.4,103.23,14.17,69.35,123.10373129570355,98.29394826565543,24.809783030048123,112.03977391323764,103.35061425171473,8.689159661522917,121.0,1665.5452448044227,27,34,7,0.7941176470588235,20.6821537552452,45.0,11.0,27.0
252,BYU Cougars,118.46,106.71,11.75,70.71,128.59515886445107,96.64083224221352,31.954326622237545,118.4140710041975,97.66213307627493,20.751937927922572,14.0,1589.7046909950163,23,34,11,0.6764705882352942,20.46239786086959,21.0,61.0,28.0
2390,Miami Hurricanes,118.0,102.86,15.14,69.32,123.58142932795691,96.44468709297185,27.136742234985064,115.21498852027165,101.94435214030048,13.270636379971167,92.0,1630.2215044076022,25,33,8,0.7575757575757576,20.079446337872643,35.0,28.0,29.0
222,Villanova Wildcats,114.78,105.29,9.49,67.22,123.7441926893125,95.30665922807968,28.437533461232817,117.32000161779249,99.71663064201397,17.603370975778514,53.0,1616.6728346520285,24,32,8,0.75,20.052408463217837,30.0,39.0,30.0
26,UCLA Bruins,117.02,106.86,10.16,66.44,126.0552999025525,96.52514448620411,29.530155416348393,118.4198312232894,99.35183961035244,19.06799161293696,28.0,1603.7284687493352,23,34,11,0.6764705882352942,19.951501145640957,26.0,50.0,31.0
2541,Santa Clara Broncos,117.76,105.0,12.76,69.67,124.96502551100626,99.69573201414836,25.269293496857898,112.32951401055222,101.87791130703127,10.451602703520944,106.0,1639.1905863020747,26,34,8,0.7647058823529411,19.594176063532686,41.0,23.0,32.0
194,Ohio State Buckeyes,118.71,108.01,10.7,67.3,127.60586223834018,97.37588061085354,30.229981627486637,118.83517730449907,98.85855626788678,19.976621036612286,21.0,1585.4306163589313,21,33,12,0.6363636363636364,19.38652163168988,25.0,66.0,33.0
228,Clemson Tigers,112.28,101.29,10.99,65.96,119.09901319909872,92.78011889322342,26.318894305875304,116.92170696167176,100.64744474907091,16.27426221260085,68.0,1609.2434990733188,24,34,10,0.7058823529411765,18.621622106603596,36.0,44.0,34.0
96,Kentucky Wildcats,115.66,105.87,9.79,69.78,123.67227138873108,94.20589730584031,29.466374082890766,120.20748316002943,99.7009112678543,20.50657189217512,16.0,1575.2637159974654,21,34,13,0.6176470588235294,18.496372841318653,27.0,78.0,35.0
61,Georgia Bulldogs,120.3,106.31,13.98,74.56,126.39878190813621,98.07327349837057,28.325508409765646,117.20605817083087,101.79330366013082,15.41275451070005,81.0,1584.174452919861,22,32,10,0.6875,18.37147685087588,31.0,69.0,36.0
58,South Florida Bulls,117.7,101.33,16.36,74.53,119.78331508671519,98.0728897255049,21.710425361210298,111.65193937145186,105.14401018777092,6.507929183680954,142.0,1643.841374878305,25,33,8,0.7575757575757576,18.0472814245204,56.0,21.0,37.0
2294,Iowa Hawkeyes,118.35,103.51,14.84,63.64,124.86483660955194,95.41192618341431,29.452910426137635,117.41445806214499,100.41768470781123,16.996773354333765,60.0,1561.2954104109888,21,33,12,0.6363636363636364,17.791225733618255,28.0,93.0,38.0
2628,TCU Horned Frogs,111.44,102.02,9.42,70.45,118.62489918246585,93.2595466879602,25.365352494505657,116.66715410223883,100.38389842305368,16.28325567918513,67.0,1600.3232737207222,22,33,11,0.6666666666666666,17.69883993328894,40.0,53.0,39.0
152,NC State Wolfpack,118.98,108.84,10.15,70.32,126.95009571392788,99.26927011412712,27.680825599800755,118.14611534892373,99.61241332257295,18.53370202635078,34.0,1560.1779805779775,20,33,13,0.6060606060606061,16.84931182879925,34.0,96.0,40.0
21,San Diego State Aztecs,110.49,100.2,10.29,70.8,116.08546874804314,92.48515556819927,23.600313179843866,115.64475890081162,102.01093175000514,13.633827150806487,90.0,1593.5613920340993,22,33,11,0.6666666666666666,16.4782261916269,46.0,56.0,41.0
2006,Akron Zips,123.09,102.35,20.74,71.79,119.62486567887255,104.12744549252666,15.497420186345892,106.90833522831251,110.81784874702214,-3.9095135187096264,347.0,1674.3285380809998,29,34,5,0.8529411764705882,16.465136997222935,86.0,8.0,42.0
245,Texas A&M Aggies,117.56,107.71,9.85,74.24,122.97890560125178,98.03506689944595,24.94383870180583,117.82551220097224,102.96912294984631,14.856389251125922,86.0,1575.2603444879587,21,32,11,0.65625,16.23493657530085,43.0,79.0,43.0
167,New Mexico Lobos,114.25,100.3,13.95,70.55,119.42127339458968,96.14609285766541,23.275180536924267,112.77628228750972,102.84446786374365,9.931814423766069,109.0,1586.3568508453247,23,33,10,0.696969696969697,15.955432810728372,48.0,64.0,44.0
2567,SMU Mustangs,118.75,108.44,10.31,71.24,125.86638267472165,99.79042068420151,26.075961990520142,117.71398858941188,100.30235998392088,17.411628605491,55.0,1545.6399190775087,20,33,13,0.6060606060606061,15.319976949135505,37.0,119.0,45.0
2116,UCF Knights,113.92,110.03,3.89,71.2,123.73781132915596,100.33018020090618,23.407631128249776,117.06765790981973,98.86510477515898,18.20255313466075,40.0,1571.6934953475577,21,32,11,0.65625,15.288490331502773,47.0,81.0,46.0
202,Tulsa Golden Hurricane,122.9,104.89,18.01,69.61,123.1037391837185,105.47602079240406,17.627718391314446,108.9045019149657,106.36237565730718,2.5421262576585173,192.0,1626.6283853263974,26,33,7,0.7878787878787878,15.145278461977092,76.0,31.0,47.0
2132,Cincinnati Bearcats,105.22,97.46,7.76,69.42,113.99895280693902,88.76365339427937,25.235299412659643,116.86412427839679,99.6404562153947,17.223668063002076,59.0,1544.979403443197,18,33,15,0.5454545454545454,14.866619878489674,42.0,121.0,48.0
251,Texas Longhorns,120.15,110.1,10.05,69.75,126.64382019854007,100.74125260232134,25.90256759621873,117.76475893133258,101.31774549555695,16.447013435775645,65.0,1537.4681514234594,18,32,14,0.5625,14.824691369282336,39.0,134.0,49.0
2550,Seton Hall Pirates,105.59,98.48,7.11,66.47,113.12800749317161,89.98466100794238,23.14334648522923,116.0904218928938,100.63983544228468,15.450586450609142,80.0,1561.203394112965,21,33,12,0.6363636363636364,14.631842948262868,49.0,95.0,50.0
193,Miami (OH) RedHawks,124.12,102.62,21.5,73.21,116.9586162369098,107.85629187226678,9.102324364643025,104.59520616894962,112.77706797288685,-8.181861803937238,493.0,1696.469289184932,31,32,1,0.96875,14.374626641568112,113.0,4.0,51.0
2168,Dayton Flyers,108.19,101.31,6.88,68.85,113.29776074055412,94.96030424945634,18.337456491097782,114.01479280511788,103.34883156754417,10.665961237573702,105.0,1602.9856530194172,23,34,11,0.6764705882352942,14.318010896519752,73.0,51.0,52.0
68,Boise State Broncos,113.62,107.35,6.27,68.63,119.94466539286171,98.66794745778031,21.276717935081393,116.11783458226495,102.24528689802032,13.872547684244623,88.0,1570.0640563852119,20,32,12,0.625,14.14156178680129,60.0,84.0,53.0
2272,High Point Panthers,124.36,97.28,27.08,72.29,117.40215636740979,106.47304949785294,10.929106869556847,101.06990271472014,112.82776651256658,-11.75786379784642,598.0,1673.3725419960854,30,34,4,0.8823529411764706,14.133180534582692,101.0,9.0,54.0
201,Oklahoma Sooners,119.73,112.22,7.5,68.9,126.1115604674074,103.11662161408876,22.994938853318644,117.6766830680651,101.53010650719415,16.146576560870948,71.0,1550.1415122314559,19,34,15,0.5588235294117647,14.004545038232115,51.0,110.0,55.0
84,Indiana Hoosiers,116.17,106.9,9.28,67.39,123.0589769209319,98.12558647821777,24.933390442714128,118.11271694787527,100.0451829171661,18.067534030709176,43.0,1530.7087477082562,18,32,14,0.5625,14.002132606769873,44.0,144.0,56.0
142,Missouri Tigers,115.05,109.93,5.11,68.89,122.05454593997383,99.77214830652868,22.282397633445157,117.3550590720629,102.16688699667665,15.18817207538624,83.0,1556.5293657103207,20,32,12,0.625,13.967667102238613,54.0,104.0,57.0
24,Stanford Cardinal,111.86,106.93,4.93,67.95,120.0881525815161,98.51404592647924,21.574106655036857,115.9772425139631,100.17101033853717,15.806232175425926,76.0,1562.1193287513609,20,32,12,0.625,13.893019765086471,57.0,92.0,58.0
2057,Belmont Bruins,118.31,103.93,14.39,70.73,120.18785471857649,105.29358536040063,14.894269358175862,107.11225680260853,106.26297078577508,0.8492860168334433,224.0,1628.418779108852,26,32,6,0.8125,13.868073634530534,92.0,30.0,59.0
259,Virginia Tech Hokies,112.65,107.4,5.25,69.83,120.63715117567004,97.760712567562,22.876438608108046,117.16966171636538,100.86524031377604,16.304421402589334,66.0,1547.2804789985917,19,32,13,0.59375,13.802243253983606,52.0,114.0,60.0
2253,Grand Canyon Lopes,109.01,99.29,9.71,69.26,114.13437516322368,92.69718240536496,21.437192757858725,113.46863325611389,104.06176274489879,9.4068705112151,118.0,1561.2853971142004,20,32,12,0.625,13.78286623463938,59.0,94.0,61.0
2,Auburn Tigers,118.83,113.61,5.22,69.75,127.2109403412254,101.13912039372174,26.071819947503656,121.21620875060509,98.98093143239723,22.23527731820786,9.0,1514.1662363926619,17,33,16,0.5151515151515151,13.74422179338492,38.0,177.0,62.0
52,Florida State Seminoles,111.96,108.43,3.53,71.83,120.47450382853332,99.85026466772078,20.624239160812536,116.18715414285799,100.31212806036277,15.875026082495225,75.0,1559.1600441405237,18,33,15,0.5454545454545454,13.270121787432455,62.0,100.0,63.0
25,California Golden Bears,111.18,104.83,6.35,69.96,116.96165241691249,97.31712838965394,19.64452402725854,114.81663039220804,102.79715466516956,12.019475727038483,97.0,1565.2779091934256,21,32,11,0.65625,13.086157473300549,66.0,89.0,64.0
2377,McNeese Cowboys,117.74,97.55,20.18,68.05,113.35633146234183,103.59849726908354,9.75783419325829,104.29725498620496,110.14868975294983,-5.8514347667448785,408.0,1663.3859352441305,28,33,5,0.8484848484848485,13.048213858835668,105.0,14.0,65.0
2440,Nevada Wolf Pack,111.96,105.68,6.29,67.78,118.43865287433779,99.4978291255708,18.940823748766988,114.09553346542438,101.95450054021799,12.141032925206382,93.0,1568.6252646150795,22,34,12,0.6470588235294118,12.901675105137468,68.0,86.0,66.0
2724,Wichita State Shockers,113.48,102.45,11.03,68.58,115.09608965296155,99.16954098778625,15.926548665175304,111.45907041050944,106.35004013521637,5.109030275293075,156.0,1596.3372605056484,22,33,11,0.6666666666666666,12.780137357870071,85.0,54.0,67.0
277,West Virginia Mountaineers,106.62,100.28,6.34,64.73,113.93871394966725,91.76862954510169,22.170084404565557,116.04030131024265,100.95681617112658,15.083485139116084,84.0,1529.5218485244968,18,32,14,0.5625,12.56113462850762,55.0,147.0,68.0
197,Oklahoma State Cowboys,112.05,111.23,0.81,74.88,121.86601918758365,101.2500468752513,20.615972312332346,117.09726663829585,99.25657358820486,17.840693050090994,46.0,1535.7198703288975,19,33,14,0.5757575757575758,12.093979672611049,63.0,135.0,69.0
36,Colorado State Rams,117.88,110.03,7.86,64.58,122.25059867807218,104.84383810155022,17.40676057652196,113.28771401108497,103.67934575871314,9.608368252371832,114.0,1566.1899190818249,21,33,12,0.6363636363636364,12.012876242352224,78.0,88.0,70.0
239,Baylor Bears,117.74,110.3,7.44,70.04,125.71011954938422,102.62866450746343,23.08145504192079,116.64951620248266,99.01742821991026,17.632087982572404,49.0,1509.1832957448742,16,32,16,0.5,11.999892308204103,50.0,193.0,71.0
2460,Northern Iowa Panthers,109.18,95.44,13.74,64.11,110.44134097330748,94.95276254052123,15.488578432786241,109.33043827519073,105.73747952560713,3.59295874958361,176.0,1579.1901792721226,23,35,12,0.6571428571428571,11.70379817999925,87.0,73.0,72.0
38,Colorado Buffaloes,113.64,112.1,1.54,70.62,122.84779995914916,101.40098085110895,21.446819108040202,117.5877191160534,100.10742885491054,17.480290261142876,54.0,1518.8559736431664,17,32,15,0.53125,11.666208236178422,58.0,170.0,73.0
