athlete_id,team_id,fga,rim_rate,mid_rate,three_rate
5142718,252,884,48.3,35.4,16.3
4683942,151,842,48.8,38.5,12.7
5142620,8,815,41.3,33.3,25.4
5178207,2856,810,41.9,34.8,23.3
5176727,2504,807,48.7,32.3,19.0
5041935,150,802,59.1,23.7,17.2
5142609,154,794,41.2,24.4,34.4
5106275,2306,757,48.5,36.6,14.9
5105832,77,746,46.4,39.1,14.5
5313270,2572,733,50.1,42.7,7.2
5105965,2181,730,42.5,38.6,18.9
5258459,24,729,45.3,30.3,24.4
4895740,344,728,32.4,30.8,36.8
5240082,55,725,59.3,25.9,14.8
5106270,96,719,50.8,30.6,18.6
4702654,275,717,49.4,27.3,23.3
5107198,2275,714,36.6,34.7,28.7
5176076,2329,714,38.1,36.8,25.1
5075625,2,712,57.2,19.1,23.7
4432638,2296,709,47.4,33.0,19.6
5314298,2771,709,67.7,26.7,5.6
5107968,2633,706,33.9,22.9,43.2
5240027,2698,692,43.5,46.1,10.4
5313381,2433,691,49.9,21.6,28.5
5175741,2210,687,70.2,14.6,15.3
5107508,2724,687,18.5,32.8,48.8
5241364,2294,687,38.3,24.3,37.4
5313696,2623,686,42.3,35.0,22.7
5314773,2400,685,27.4,37.4,35.2
5177694,149,683,42.5,36.5,21.1
4873090,333,683,45.7,24.6,29.7
5241415,2900,682,59.5,19.5,21.0
5174594,2382,679,52.1,30.3,17.5
5241756,2427,678,49.1,30.4,20.5
5243366,2582,678,50.3,31.6,18.1
5187600,238,677,41.1,34.9,24.1
5164559,2633,677,47.4,32.2,20.4
5177233,254,673,56.2,29.7,14.1
5254165,356,669,45.9,21.5,32.6
5189001,6,669,68.3,28.0,3.7
4897215,2097,668,42.1,15.9,42.1
5106037,2617,667,52.3,34.9,12.7
4897018,2110,665,44.8,24.8,30.4
5106280,2655,656,54.4,18.9,26.7
4711259,2439,647,30.3,32.0,37.7
5105798,2390,645,57.8,30.5,11.6
4873089,2,644,36.5,24.4,39.1
5239525,13,643,44.3,20.4,35.3
5107157,97,642,34.3,15.1,50.6
5175974,2502,641,45.6,35.1,19.3
5105691,2426,641,42.7,35.6,21.7
5242926,2561,641,40.4,37.6,22.0
4433285,142,638,63.3,29.0,7.7
4698718,324,637,39.6,41.9,18.5
5105560,2619,636,40.6,32.4,27.0
5241608,249,635,39.4,22.2,38.4
5103630,275,632,39.2,21.4,39.4
5106262,2599,632,63.8,26.9,9.3
5106291,2463,630,51.0,43.3,5.7
5242560,189,629,62.8,26.7,10.5
5241360,71,629,48.5,29.1,22.4
5177707,2870,626,45.2,29.4,25.4
4897768,47,624,58.5,22.6,18.9
4898243,2385,624,36.4,31.6,32.1
4870564,66,624,53.8,28.5,17.6
5108059,2006,623,37.7,30.0,32.3
5182573,2634,623,42.1,33.7,24.2
4897365,277,622,30.4,12.9,56.8
5108093,2309,622,56.1,33.8,10.1
5177229,2115,622,42.4,33.4,24.1
5060709,252,621,44.9,33.5,21.6
5105821,2253,620,54.2,25.3,20.5
5095152,239,620,37.7,33.2,29.0
5314511,231,620,37.1,31.0,31.9
4898283,2567,616,40.1,33.8,26.1
5106274,2029,615,45.4,40.0,14.6
4873143,2515,615,38.0,39.2,22.8
5176517,2086,614,53.6,35.3,11.1
5105876,84,614,32.7,22.5,44.8
5175809,164,612,34.8,41.0,24.2
4683748,198,611,42.1,28.6,29.3
5314641,2172,611,32.6,33.1,34.4
5107298,94,611,52.7,17.8,29.5
4896620,2430,611,66.3,25.4,8.3
5181503,27,608,30.8,27.3,41.9
5106599,2168,608,35.4,22.0,42.6
4703106,2934,606,45.9,27.9,26.2
5119069,2454,605,33.6,26.4,40.0
5107904,2272,605,45.0,28.8,26.3
4848630,2515,605,48.9,24.8,26.3
5113969,239,603,46.1,19.7,34.2
5175148,119,603,34.8,40.6,24.5
5174288,2405,601,45.6,27.0,27.5
5107377,2473,601,52.2,13.8,33.9
5105837,194,600,39.5,34.3,26.2
4710770,2579,599,51.3,19.0,29.7
4684720,218,599,51.8,26.2,22.0
5107970,135,596,50.3,21.0,28.7
5080489,57,596,52.7,17.3,30.0
5176355,2427,596,44.3,40.4,15.3
5082206,12,595,47.1,22.5,30.4
4848625,251,595,61.0,23.4,15.6
5108879,2217,595,32.8,25.7,41.5
5149077,248,595,36.5,45.5,18.0
5176164,2916,594,33.8,21.9,44.3
5241846,166,593,34.1,43.3,22.6
5108049,2450,593,44.4,27.3,28.3
5241648,155,591,53.6,26.9,19.5
5241314,2000,590,46.8,28.6,24.6
4682856,2737,589,68.3,31.2,0.5
5144375,2377,589,61.1,21.6,17.3
5178210,202,588,57.7,30.6,11.7
5176315,23,587,34.9,49.1,16.0
5174955,2608,587,46.7,35.1,18.2
4837356,2390,585,36.2,35.0,28.7
5239838,251,584,81.2,18.8,0.0
5105401,328,584,37.5,23.6,38.9
5314722,2501,582,31.3,31.6,37.1
4845365,2649,582,36.3,44.7,19.1
4896505,113,581,74.9,24.6,0.5
4702680,2535,580,33.8,15.9,50.3
4904928,2504,580,38.8,40.3,20.9
4703115,2567,580,32.2,30.5,37.2
5105603,145,578,37.5,42.2,20.2
4712862,145,577,47.3,38.8,13.9
5107782,26,577,39.9,47.8,12.3
5176736,2653,577,56.7,21.3,22.0
5236222,2275,576,34.4,22.6,43.1
5041951,8,574,29.8,35.9,34.3
4711267,300,573,30.0,38.2,31.8
5175029,112358,573,34.4,41.2,24.4
4711255,127,572,46.2,34.8,19.1
5176412,331,571,34.5,37.3,28.2
5241590,2272,570,60.5,27.2,12.3
5176300,2458,570,42.5,34.2,23.3
4845373,25,570,41.2,32.6,26.1
4898010,2507,570,42.5,25.3,32.3
5105981,2463,570,24.7,30.4,44.9
5107076,2678,569,32.3,13.2,54.5
5174613,27,569,50.1,23.9,26.0
