athlete_id,team_id,fga,rim_rate,mid_rate,three_rate
4683942,151,540,48.0,38.0,14.1
5142718,252,494,44.9,36.2,18.8
4432638,2296,489,49.7,32.1,18.2
5176727,2504,480,52.7,27.7,19.6
5105832,77,472,43.4,40.3,16.3
5240082,55,470,55.7,28.7,15.5
5178207,2856,468,38.0,40.8,21.2
5314298,2771,458,72.7,22.1,5.2
4895740,344,437,33.9,29.1,37.1
5106037,2617,432,58.1,30.3,11.6
5105965,2181,430,39.1,42.3,18.6
5106275,2306,425,43.5,40.7,15.8
5142609,154,423,38.1,26.7,35.2
5176164,2916,423,36.9,20.1,43.0
5177707,2870,421,43.7,30.6,25.7
5240027,2698,420,45.0,44.5,10.5
5258459,24,418,43.1,32.1,24.9
5105876,84,417,31.7,24.0,44.4
4702654,275,416,47.1,31.2,21.6
5174613,27,412,50.2,24.0,25.7
5313696,2623,411,43.6,36.5,20.0
5174594,2382,410,55.6,26.6,17.8
5181503,27,410,30.5,28.8,40.7
5189001,6,410,67.1,29.8,3.2
5142620,8,404,43.3,32.7,24.0
5106270,96,404,51.5,30.7,17.8
5241364,2294,403,38.5,24.3,37.2
5239525,13,401,41.9,20.4,37.7
4897467,2466,399,42.6,35.3,22.1
4703106,2934,399,45.9,27.1,27.1
5254165,356,398,46.2,22.1,31.7
5242560,189,398,66.1,23.6,10.3
4895747,2247,397,40.6,30.7,28.7
5313270,2572,397,51.4,42.6,6.0
5242437,2815,396,36.1,24.5,39.4
4897215,2097,395,40.8,17.2,42.0
5105821,2253,394,53.8,24.9,21.3
5106291,2463,393,55.0,39.7,5.3
5313381,2433,393,45.0,23.2,31.8
5175741,2210,392,69.1,14.8,16.1
4896368,2916,392,34.4,27.8,37.8
5107377,2473,391,54.7,12.0,33.2
5187600,238,391,44.2,34.8,21.0
5176517,2086,390,53.6,36.2,10.3
4711259,2439,389,29.6,31.6,38.8
5243366,2582,387,51.4,30.0,18.6
5314773,2400,387,27.1,38.2,34.6
5241846,166,387,35.4,42.6,22.0
5182573,2634,387,45.7,33.6,20.7
5242911,2520,387,37.0,35.4,27.6
4710770,2579,386,55.4,18.7,25.9
5144086,269,386,51.0,26.2,22.8
5144375,2377,386,61.7,20.5,17.9
5175974,2502,385,47.0,35.1,17.9
5107298,94,385,50.6,18.7,30.6
5108809,2443,382,32.7,26.2,41.1
4698718,324,382,39.3,41.6,19.1
5175809,164,381,32.3,46.7,21.0
5177229,2115,380,43.4,35.3,21.3
5107198,2275,377,38.5,33.4,28.1
5313292,2692,375,53.6,21.1,25.3
5107508,2724,375,15.7,35.7,48.5
