athlete_id,team_id,fga,rim_rate,mid_rate,three_rate
5177042,233,331,46.2,36.3,17.5
4897768,47,320,57.2,21.6,21.2
5241415,2900,313,59.1,24.0,16.9
5108049,2450,313,44.1,29.1,26.8
4683942,151,302,50.3,39.4,10.3
5106275,2306,301,55.5,30.6,14.0
4703215,2504,297,39.7,25.9,34.3
5314190,2428,285,33.0,29.8,37.2
5177233,254,283,63.6,19.8,16.6
5142609,154,283,47.0,19.1,33.9
4848630,2515,280,47.5,24.3,28.2
5175741,2210,280,71.1,14.3,14.6
4683748,198,278,44.2,28.1,27.7
5041935,150,278,57.9,24.1,18.0
5314773,2400,276,27.5,36.2,36.2
5106767,2450,274,40.1,41.2,18.6
5095151,153,269,67.3,27.5,5.2
5107223,2127,268,30.6,20.9,48.5
5258459,24,266,49.2,26.3,24.4
5313381,2433,265,55.8,20.4,23.8
5142718,252,265,57.7,30.9,11.3
5143604,2641,263,51.7,39.5,8.7
4895740,344,261,31.8,30.7,37.5
5105478,2011,259,40.5,22.4,37.1
5176076,2329,258,38.4,34.5,27.1
5313530,2908,256,47.7,39.8,12.5
5107198,2275,256,34.0,35.5,30.5
5106280,2655,255,54.9,18.8,26.3
5314641,2172,254,29.5,34.6,35.8
5241756,2427,252,49.6,30.2,20.2
4898283,2567,249,44.2,31.3,24.5
5178207,2856,248,52.0,23.8,24.2
4683629,103,245,40.4,27.3,32.2
4684720,218,244,55.3,20.9,23.8
4703115,2567,243,35.0,32.5,32.5
5095152,239,243,42.0,31.7,26.3
5101672,2084,242,45.5,26.0,28.5
5243366,2582,242,48.8,35.5,15.7
5174594,2382,241,47.7,34.9,17.4
5239812,399,241,40.7,28.2,31.1
5107157,97,241,40.7,10.8,48.5
5240664,2415,239,31.4,25.9,42.7
5105560,2619,239,36.0,33.1,31.0
5075625,2,237,58.6,19.0,22.4
5060701,2641,237,37.1,20.7,42.2
4873143,2515,237,39.2,35.9,24.9
5105798,2390,237,57.4,31.6,11.0
5105691,2426,236,53.0,33.5,13.6
5176355,2427,236,39.8,48.7,11.4
5241748,2908,236,35.6,26.7,37.7
5107076,2678,235,34.0,14.5,51.5
5240027,2698,235,40.0,51.9,8.1
5061572,108,234,40.6,45.3,14.1
4873090,333,234,44.0,28.6,27.4
4683786,16,234,42.7,35.9,21.4
5240082,55,234,65.4,21.4,13.2
5113969,239,234,52.6,18.4,29.1
5176286,2352,233,63.9,12.9,23.2
5174955,2608,233,47.6,34.8,17.6
4897365,277,233,29.2,10.7,60.1
5164559,2633,233,47.6,27.0,25.3
5240686,2349,232,71.6,28.4,0.0
5107970,135,232,56.9,16.8,26.3
5241608,249,232,42.7,15.9,41.4
5177694,149,230,40.4,40.0,19.6
5241721,159,230,56.5,23.9,19.6
5107977,2415,230,32.2,40.0,27.8
4698718,324,230,39.6,43.9,16.5
4684745,24,229,57.6,24.9,17.5
5142620,8,229,34.5,34.9,30.6
5313696,2623,228,40.4,32.9,26.8
5107968,2633,227,30.8,23.8,45.4
5105539,2433,227,53.7,15.0,31.3
5175673,2506,227,59.9,39.6,0.4
5105471,3101,227,55.9,40.1,4.0
5241314,2000,227,51.1,28.2,20.7
4433285,142,226,63.7,28.8,7.5
5165276,61,226,47.3,17.7,35.0
5111919,2636,226,35.8,27.0,37.2
5175029,112358,226,36.3,38.9,24.8
5108059,2006,226,36.7,29.6,33.6
5119069,2454,225,35.1,25.8,39.1
4897215,2097,225,42.7,13.3,44.0
5177097,2066,225,56.0,34.2,9.8
5106599,2168,225,35.1,23.6,41.3
4870564,66,224,55.8,29.5,14.7
5176736,2653,224,53.6,23.7,22.8
4897018,2110,224,43.8,25.4,30.8
5105457,9,224,32.1,27.2,40.6
4896505,113,223,74.4,24.2,1.3
4896370,261,223,27.4,22.4,50.2
5107174,43,223,57.0,22.4,20.6
4700877,30,222,43.7,26.6,29.7
5176954,2172,221,41.2,22.2,36.7
5313270,2572,221,47.1,45.2,7.7
5174317,2029,220,40.0,49.1,10.9
4845365,2649,220,34.5,45.0,20.5
4432638,2296,220,42.3,35.0,22.7
5106274,2029,220,46.4,38.2,15.5
5107273,2449,219,37.4,29.2,33.3
5080489,57,219,53.0,15.1,32.0
5314511,231,218,33.9,33.9,32.1
4682856,2737,218,65.6,33.9,0.5
5242551,2428,218,57.3,37.2,5.5
5240016,56,217,43.3,32.3,24.4
5242807,2011,217,30.4,29.0,40.6
5107180,179,216,56.9,43.1,0.0
5177247,324,216,27.8,34.7,37.5
5108093,2309,216,57.9,31.0,11.1
5240935,2097,216,74.5,18.5,6.9
5176412,331,216,26.4,43.1,30.6
4703980,2598,216,26.4,43.1,30.6
5240903,279,216,49.1,29.6,21.3
5105805,235,216,31.9,40.7,27.3
5242560,189,216,56.0,32.9,11.1
5239525,13,215,48.8,18.6,32.6
4712862,145,215,52.1,35.8,12.1
5060721,2900,214,49.1,14.5,36.4
4703396,2250,214,53.7,35.5,10.7
5106247,172,214,43.9,12.1,43.9
5243278,2747,214,52.3,22.0,25.7
5107275,2437,213,23.9,23.5,52.6
4704109,2427,213,35.7,39.4,24.9
4684843,219,212,39.2,27.8,33.0
4845373,25,211,44.1,29.4,26.5
5175148,119,211,31.8,35.5,32.7
5041951,8,211,28.9,28.4,42.7
5239828,2429,210,52.4,25.2,22.4
4873089,2,210,32.4,26.7,41.0
5174288,2405,210,48.6,25.7,25.7
5179291,2698,210,36.2,32.4,31.4
5239838,251,210,86.7,13.3,0.0
5107508,2724,210,24.8,29.0,46.2
5105965,2181,209,45.9,35.9,18.2
5106236,171,209,33.5,22.5,44.0
5243035,322,209,28.2,25.8,45.9
5101761,97,209,43.5,20.1,36.4
5107346,324,208,28.8,35.6,35.6
5106744,2130,208,42.8,51.4,5.8
5183294,2908,208,40.9,17.3,41.8
4703106,2934,207,45.9,29.5,24.6
5313131,2885,207,28.5,29.5,42.0
5105832,77,207,54.6,34.3,11.1
4683680,5,207,72.0,11.6,16.4
4700841,2026,206,32.0,35.9,32.0
5313144,399,206,52.4,21.8,25.7
5177188,2084,206,23.8,23.3,52.9
5177229,2115,206,38.3,31.1,30.6
4898243,2385,206,34.0,32.0,34.0
5105462,252,205,50.7,9.8,39.5
5175672,2506,205,21.5,34.1,44.4
5175671,2244,205,32.7,31.2,36.1
5241360,71,205,55.1,21.5,23.4
4702654,275,205,52.2,21.5,26.3
5105598,269,204,57.4,18.1,24.5
5175974,2502,204,40.2,34.3,25.5
4837356,2390,204,37.7,31.4,30.9
4897361,113,204,22.5,23.5,53.9
4432182,2272,204,40.2,35.8,24.0
5242937,2199,203,48.8,43.8,7.4
5105821,2253,203,52.7,26.6,20.7
4895742,2492,203,44.3,27.1,28.6
4902967,108,203,43.3,34.0,22.7
5177572,2010,202,36.1,43.6,20.3
5185239,2441,202,40.1,34.2,25.7
5241454,2571,202,29.2,25.7,45.0
5239711,227,202,34.2,9.9,55.9
5241648,155,201,49.8,31.3,18.9
4894445,2250,201,38.3,52.7,9.0
5312258,87,201,58.7,36.8,4.5
5106058,248,201,33.3,19.9,46.8
5176193,2535,201,83.6,15.4,1.0
5314746,2755,201,70.6,24.4,5.0
5175080,2747,201,37.3,21.9,40.8
4903216,254,200,40.0,25.0,35.0
5177096,112358,200,56.5,36.0,7.5
5176315,23,199,37.2,50.8,12.1
5176517,2086,199,52.8,34.2,13.1
4702158,2856,199,45.7,31.7,22.6
5243399,2169,199,29.6,42.2,28.1
5243000,2184,199,57.3,11.1,31.7
5175064,2507,199,37.2,29.6,33.2
5106051,30,199,82.9,17.1,0.0
5311846,258,199,56.8,26.1,17.1
5236222,2275,198,38.4,17.2,44.4
5181503,27,198,31.3,24.2,44.4
5177174,163,198,32.8,35.9,31.3
5106727,119,197,18.8,29.9,51.3
5241069,2541,197,38.6,30.5,31.0
5107904,2272,197,43.7,32.5,23.9
5240980,2608,197,29.9,34.0,36.0
5105837,194,197,39.1,33.5,27.4
5108006,195,197,55.8,35.0,9.1
4685664,256,196,41.8,32.1,26.0
4685802,52,196,44.9,31.6,23.5
5254159,38,196,61.2,17.3,21.4
5176318,70,196,38.8,20.4,40.8
5175058,2226,195,43.1,21.5,35.4
4702522,242,195,40.0,32.8,27.2
5189001,6,195,71.8,23.6,4.6
5106270,96,195,57.4,23.6,19.0
5323987,2569,195,19.0,28.7,52.3
5107976,119,195,56.9,34.4,8.7
5177301,2305,194,32.5,41.8,25.8
5243405,2569,194,35.6,41.8,22.7
4896620,2430,194,67.0,24.7,8.2
4904928,2504,194,44.8,39.2,16.0
4702680,2535,194,35.6,10.3,54.1
5106867,28,194,42.8,30.4,26.8
5313186,2378,194,31.4,36.6,32.0
4897534,2351,194,17.0,29.4,53.6
4432494,2449,194,46.4,53.6,0.0
5176359,2541,194,41.2,30.4,28.4
5174952,46,193,50.8,32.1,17.1
4896939,151,193,78.2,21.8,0.0
5106291,2463,193,47.2,46.6,6.2
5313147,276,193,38.9,43.5,17.6
4704015,276,193,17.1,30.6,52.3
5176417,160,193,49.7,35.8,14.5
5105780,2350,193,51.8,24.4,23.8
5241674,94,192,24.5,30.2,45.3
4575837,526,192,46.4,27.1,26.6
5180837,2239,192,51.0,17.2,31.8
5189257,9,192,69.8,18.2,12.0
5041953,12,191,60.2,35.1,4.7
5106731,350,191,35.1,23.0,41.9
5242992,2515,191,26.2,16.2,57.6
5105981,2463,191,19.4,30.9,49.7
4685686,261,190,46.8,31.1,22.1
5314225,2649,190,35.3,30.0,34.7
4684443,45,190,77.4,22.6,0.0
4710770,2579,190,43.7,20.0,36.3
4711267,300,190,30.0,38.4,31.6
5105758,233,190,33.2,25.8,41.1
5060709,252,190,41.6,33.2,25.3
5241690,58,189,70.4,12.7,16.9
5105778,2182,189,28.6,29.6,41.8
5183925,58,189,48.7,33.3,18.0
5175657,179,189,21.2,38.6,40.2
5178199,2065,189,54.0,25.9,20.1
5242269,13,189,51.3,18.0,30.7
5314481,2142,188,45.2,34.0,20.7
5106869,2711,188,55.9,36.2,8.0
4898334,2598,188,40.4,33.5,26.1
5311972,120,188,47.9,22.9,29.3
5105848,2066,188,63.3,21.8,14.9
5107317,195,188,35.1,46.3,18.6
4685673,259,188,55.3,23.4,21.3
5313068,2247,188,47.9,22.9,29.3
4903264,278,188,37.8,20.7,41.5
5241283,304,187,44.9,19.8,35.3
5312457,290,187,49.7,28.3,21.9
4897923,147,187,37.4,48.7,13.9
5106775,2127,187,46.5,27.8,25.7
5108879,2217,187,35.3,24.6,40.1
5144392,38,187,44.9,27.8,27.3
5176046,2142,187,38.5,50.8,10.7
4684289,2752,187,36.4,34.8,28.9
5174561,2010,186,43.5,33.9,22.6
5182573,2634,186,38.2,32.8,29.0
5175415,2230,186,30.1,45.7,24.2
5106253,155,186,42.5,25.8,31.7
5176028,44,186,48.4,28.0,23.7
5176075,47,186,51.6,18.8,29.6
5177722,16,185,52.4,22.2,25.4
5313054,265,185,33.5,27.6,38.9
4432741,2627,185,54.1,33.5,12.4
5242942,107,185,36.2,34.1,29.7
5103630,275,185,44.3,20.5,35.1
4431930,227,185,57.3,16.8,25.9
5113534,93,185,38.9,35.1,25.9
5175352,198,184,50.0,37.0,13.0
5144135,2239,184,67.9,20.7,11.4
5174661,61,184,46.2,16.8,37.0
5177696,2464,184,63.0,34.8,2.2
5177707,2870,184,47.3,28.3,24.5
5164368,2628,184,54.9,35.9,9.2
5176727,2504,184,40.8,43.5,15.8
5196921,299,184,23.9,39.7,36.4
4873093,99,184,44.0,39.7,16.3
5314574,2430,183,49.7,19.1,31.1
4894452,154,183,38.3,26.2,35.5
5176732,2653,183,39.9,20.8,39.3
4848625,251,183,64.5,19.7,15.8
5176395,300,183,49.7,32.2,18.0
5240934,309,183,27.3,39.3,33.3
4845378,2344,183,42.1,40.4,17.5
5174633,201,183,43.7,21.3,35.0
4683757,59,183,38.8,23.0,38.3
5037874,2351,183,45.9,29.0,25.1
5240369,218,183,43.7,23.5,32.8
4895738,526,182,42.9,41.2,15.9
5242936,2230,182,41.8,30.8,27.5
5239649,2448,182,57.1,28.0,14.8
5314440,2710,182,31.9,25.8,42.3
