athlete_id,team_id,fga,rim_rate,mid_rate,three_rate
5142620,8,182,45.6,32.4,22.0
5041935,150,166,59.6,25.3,15.1
5105809,41,157,56.7,42.7,0.6
5178210,202,152,55.9,34.2,9.9
5176727,2504,143,45.5,33.6,21.0
5041953,12,142,62.0,37.3,0.7
4869764,130,130,38.5,26.2,35.4
4873089,2,127,33.9,22.0,44.1
5107904,2272,126,47.6,21.4,31.0
5175737,130,125,53.6,12.0,34.4
5142718,252,125,41.6,41.6,16.8
4917149,41,124,31.5,15.3,53.2
5082206,12,120,38.3,25.0,36.7
5106270,96,120,37.5,41.7,20.8
5196916,41,119,18.5,30.3,51.3
4897438,2509,118,46.6,53.4,0.0
5241364,2294,118,32.2,22.9,44.9
5107968,2633,118,37.3,21.2,41.5
5105854,2509,117,31.6,35.9,32.5
5187600,238,115,44.3,33.9,21.7
5313270,2572,115,51.3,38.3,10.4
5061585,150,115,32.2,16.5,51.3
5254165,356,113,43.4,20.4,36.3
5174983,130,111,62.2,35.1,2.7
4576062,201,109,19.3,34.9,45.9
5107226,290,109,24.8,17.4,57.8
5174973,2509,108,85.2,14.8,0.0
5106262,2599,108,49.1,34.3,16.7
5075625,2,107,43.9,23.4,32.7
4432737,12,106,49.1,40.6,10.4
5164559,2633,105,51.4,27.6,21.0
5105853,2509,105,32.4,14.3,53.3
5105594,201,104,53.8,33.7,12.5
5107508,2724,102,15.7,29.4,54.9
5041955,2305,101,42.6,28.7,28.7
4873153,130,100,78.0,11.0,11.0
4904928,2504,100,36.0,35.0,29.0
5176314,2,99,19.2,23.2,57.6
5315585,167,99,62.6,30.3,7.1
4895737,41,98,25.5,21.4,53.1
5174633,201,98,27.6,40.8,31.6
5041951,8,98,32.7,37.8,29.6
5311896,12,97,54.6,25.8,19.6
5241411,202,97,36.1,8.2,55.7
4702654,275,96,53.1,22.9,24.0
5312457,290,96,58.3,13.5,28.1
5242926,2561,96,40.6,30.2,29.2
5106600,2168,95,60.0,20.0,20.0
4897365,277,94,42.6,14.9,42.6
5178207,2856,94,34.0,34.0,31.9
5254338,167,94,36.2,17.0,46.8
5239838,251,94,73.4,26.6,0.0
5313566,202,94,23.4,10.6,66.0
5177690,2440,93,38.7,33.3,28.0
5236222,2275,93,24.7,34.4,40.9
4873090,333,93,39.8,21.5,38.7
4898382,290,92,52.2,10.9,37.0
5105965,2181,91,50.5,27.5,22.0
5149077,248,90,30.0,55.6,14.4
5060712,2670,90,30.0,33.3,36.7
5041954,130,88,39.8,17.0,43.2
5177694,149,88,43.2,34.1,22.7
5106254,66,88,44.3,25.0,30.7
5175007,356,88,61.4,28.4,10.2
5041937,150,88,44.3,38.6,17.0
5142609,154,88,37.5,30.7,31.8
5176076,2329,87,40.2,37.9,21.8
5105401,328,87,36.8,27.6,35.6
5176186,338,85,41.2,40.0,18.8
5106599,2168,85,40.0,15.3,44.7
5175148,119,85,35.3,49.4,15.3
5174954,12,85,63.5,34.1,2.4
5107157,97,85,38.8,17.6,43.5
4897018,2110,84,53.6,17.9,28.6
5241590,2272,84,53.6,26.2,20.2
5105527,96,84,36.9,26.2,36.9
5105798,2390,84,56.0,29.8,14.3
4848637,66,83,22.9,13.3,63.9
5313914,2440,83,53.0,24.1,22.9
5176317,2440,83,71.1,24.1,4.8
5311832,356,82,47.6,19.5,32.9
5107864,328,82,34.1,41.5,24.4
5103630,275,82,37.8,20.7,41.5
5142608,2603,81,44.4,7.4,48.1
5060706,26,81,49.4,22.2,28.4
5107198,2275,81,35.8,38.3,25.9
5243042,2329,81,84.0,16.0,0.0
5107887,2460,80,23.8,36.2,40.0
4904931,2504,80,50.0,41.2,8.8
4848625,251,79,62.0,22.8,15.2
5241648,155,79,70.9,17.7,11.4
5106058,248,79,27.8,21.5,50.6
5164368,2628,78,62.8,28.2,9.0
5080489,57,78,60.3,16.7,23.1
4702049,238,78,39.7,25.6,34.6
5174623,202,77,51.9,15.6,32.5
5107768,70,77,46.8,37.7,15.6
4711259,2439,77,20.8,40.3,39.0
4698719,8,77,40.3,23.4,36.4
5144375,2377,77,50.6,28.6,20.8
5254340,167,76,47.4,22.4,30.3
5105603,145,75,32.0,53.3,14.7
5107782,26,75,44.0,40.0,16.0
5176354,2287,75,64.0,26.7,9.3
4712862,145,75,30.7,52.0,17.3
4703396,2250,75,49.3,41.3,9.3
5060724,2348,75,36.0,44.0,20.0
5314511,231,74,36.5,27.0,36.5
5241483,2750,74,51.4,29.7,18.9
5105555,12,74,70.3,27.0,2.7
5176218,2572,74,75.7,23.0,1.4
5314298,2771,74,32.4,54.1,13.5
5177096,112358,73,64.4,32.9,2.7
5176075,47,73,57.5,23.3,19.2
5108060,2006,72,61.1,12.5,26.4
4433138,130,72,48.6,4.2,47.2
4432243,251,72,30.6,34.7,34.7
5176632,3084,72,59.7,33.3,6.9
5095155,201,72,48.6,31.9,19.4
4897768,47,71,52.1,23.9,23.9
4683758,258,71,40.8,26.8,32.4
5108059,2006,71,38.0,40.8,21.1
5105858,2603,71,47.9,9.9,42.3
4565698,2599,71,47.9,23.9,28.2
5311502,2,70,50.0,22.9,27.1
4610012,26,70,32.9,45.7,21.4
5106272,248,70,8.6,42.9,48.6
5177021,70,69,23.2,36.2,40.6
5106776,94,69,76.8,18.8,4.3
5108764,2174,69,49.3,47.8,2.9
5105844,197,69,37.7,34.8,27.5
5105836,130,68,58.8,14.7,26.5
5239885,290,68,63.2,11.8,25.0
5311846,258,68,41.2,27.9,30.9
5142621,248,67,41.8,40.3,17.9
5105832,77,67,41.8,46.3,11.9
5176318,70,67,34.3,23.9,41.8
5177716,2547,67,50.7,37.3,11.9
5113969,239,67,32.8,19.4,47.8
5192142,47,67,47.8,26.9,25.4
5060700,248,66,48.5,51.5,0.0
5060732,8,66,48.5,31.8,19.7
5241415,2900,66,62.1,22.7,15.2
5239526,2168,66,47.0,19.7,33.3
5177122,2168,66,45.5,21.2,33.3
5174657,57,66,68.2,28.8,3.0
5242922,2561,65,36.9,49.2,13.8
5214642,356,65,38.5,18.5,43.1
