team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,364,736,1100,1901,661,2262.2400000000002
5,377,785,1162,2100,717,2371.7200000000003
6,372,782,1154,1822,1083,2089.08
8,340,799,1139,1992,787,2318.84
9,354,838,1192,1963,791,2241.72
12,370,743,1113,2088,875,2385.96
13,420,903,1323,2241,895,2635.28
16,273,789,1062,1710,787,2090.96
21,341,719,1060,1652,777,1978.64
22,12,42,54,63,34,75.24
23,370,822,1192,2049,741,2296.96
24,301,788,1089,1816,619,2191.32
25,322,832,1154,1945,638,2278.2799999999997
26,288,710,998,1656,742,2105.12
27,325,823,1148,1936,746,2258.2
28,315,846,1161,1816,802,2274.56
30,333,730,1063,1900,732,2266.72
35,19,34,53,68,37,72.44
36,308,769,1077,1904,722,2258.6
38,343,784,1127,1966,769,2305.96
41,306,661,967,1786,610,2129.16
43,273,641,914,1706,815,1975.28
44,288,810,1098,1811,630,2204.44
45,383,761,1144,1929,757,2215.36
46,313,771,1084,1821,721,2170.52
47,350,744,1094,1913,649,2271.32
48,412,895,1307,2214,760,2506.76
49,17,34,51,67,17,73.56
50,332,710,1042,1749,629,2058.4
52,364,772,1136,1864,785,2238.56
53,51,150,201,296,113,338.68
55,320,800,1120,2026,857,2238.64
56,397,785,1182,2016,822,2139.64
57,387,762,1149,2064,770,2387.08
58,383,835,1218,1898,716,2236.96
59,348,823,1171,2019,818,2285.44
60,10,33,43,63,35,75.12
61,370,669,1039,1899,771,2178.32
62,258,675,933,1794,583,2071.7200000000003
66,329,719,1048,1895,771,2314.6800000000003
68,255,717,972,1875,682,2232.92
70,342,789,1131,1892,750,2199.32
71,348,773,1121,1944,829,2274.08
77,324,797,1121,1793,704,2196.64
79,319,779,1098,1928,766,2252.0
81,16,26,42,69,16,68.28
82,294,749,1043,1850,664,2167.76
84,320,759,1079,1904,741,2195.16
85,315,781,1096,1822,765,2133.48
87,292,781,1073,1907,772,2198.12
88,339,773,1112,1778,649,2056.76
91,282,763,1045,1781,827,2081.68
93,285,794,1079,1800,572,2195.52
94,351,795,1146,1890,758,2239.76
96,327,828,1155,2086,908,2379.68
97,334,799,1133,1994,792,2333.4
98,350,947,1297,1926,852,2311.16
99,424,790,1214,2006,718,2214.04
100,27,69,96,143,54,156.28
101,35,100,135,194,85,226.48000000000002
103,320,785,1105,1802,647,2105.92
104,234,715,949,1706,695,2061.36
107,292,784,1076,1902,728,2115.36
108,279,668,947,1587,590,1793.84
111,344,740,1084,1832,636,2123.64
113,357,854,1211,1931,776,2282.72
116,369,762,1131,2069,917,2323.44
119,302,792,1094,1806,695,2126.88
120,322,786,1108,1953,700,2326.64
127,301,714,1015,1912,791,2266.08
130,394,744,1138,2136,830,2395.52
135,330,779,1109,1789,614,2058.04
139,347,802,1149,2043,796,2260.88
140,308,710,1018,1795,745,2164.96
142,364,719,1083,1900,725,2295.2400000000002
144,16,39,55,56,23,78.0
145,350,895,1245,1835,807,2277.0
147,330,834,1164,1908,606,2191.44
148,7,32,39,61,29,72.84
149,322,782,1104,1991,690,2303.88
150,336,702,1038,1964,745,2248.56
151,353,794,1147,1953,687,2260.96
152,325,786,1111,1725,563,2025.64
153,349,831,1180,2159,819,2472.68
154,358,776,1134,1835,841,2158.32
155,312,844,1156,1976,797,2294.12
156,370,795,1165,2230,786,2297.88
158,325,780,1105,1871,865,2151.2
159,257,763,1020,1785,676,2000.4
160,336,856,1192,1889,756,2189.64
161,371,858,1229,1989,730,2296.28
163,231,782,1013,1680,675,2041.3600000000001
164,367,805,1172,1957,737,2246.24
166,308,761,1069,1775,757,2121.8
167,305,861,1166,1920,732,2412.7200000000003
171,245,684,929,1655,693,1912.2
172,306,680,986,1812,705,2077.44
177,8,29,37,45,20,69.2
179,290,784,1074,1832,870,2146.36
183,304,796,1100,1982,756,2290.2
188,12,28,40,65,11,72.36
189,293,791,1084,1813,784,2145.04
190,60,115,175,287,120,281.92
191,17,22,39,62,23,64.48
193,335,805,1140,1962,797,2388.6
194,339,750,1089,1851,696,2212.72
195,323,823,1146,1909,625,2293.68
196,11,27,38,63,29,72.44
197,317,794,1111,1842,805,2291.48
198,307,776,1083,1755,715,2027.16
201,363,764,1127,1927,807,2286.1600000000003
202,366,854,1220,1988,681,2235.92
204,301,638,939,1777,731,2078.08
205,11,39,50,66,31,69.36
212,18,31,49,67,17,71.32
213,310,725,1035,1815,695,2175.52
218,369,766,1135,1959,711,2251.08
219,282,712,994,1660,650,1812.32
220,10,43,53,64,22,98.84
221,321,767,1088,1800,744,2134.04
222,304,711,1015,1808,829,2078.8
224,12,26,38,66,31,72.68
225,300,665,965,1626,611,1830.0
227,339,764,1103,1938,767,2215.16
228,340,727,1067,1853,709,2178.84
231,368,803,1171,2024,792,2295.12
232,338,845,1183,2050,821,2331.84
233,419,884,1303,2100,824,2436.28
235,410,761,1171,2061,838,2422.48
236,331,761,1092,1915,783,2228.84
237,11,26,37,62,23,71.44
238,314,789,1103,1786,669,2228.6800000000003
239,339,740,1079,1841,746,2190.4
241,20,71,91,141,50,156.2
242,342,775,1117,1847,675,2098.8
245,309,714,1023,1761,827,2154.68
248,337,737,1074,1743,751,2136.8
249,267,650,917,1562,591,1942.68
250,366,731,1097,1880,643,2153.4
251,367,818,1185,1976,715,2341.44
252,293,716,1009,1856,830,2184.12
253,367,758,1125,1943,549,2175.36
254,343,762,1105,1912,764,2198.7200000000003
256,304,738,1042,1764,624,2040.72
257,294,851,1145,1777,846,2099.8
258,304,750,1054,1732,671,1956.1200000000001
259,306,723,1029,1820,749,2114.76
261,292,795,1087,1834,705,2111.48
264,278,778,1056,1757,619,2124.08
265,395,719,1114,2052,797,2356.92
267,20,36,56,81,20,82.44
269,345,840,1185,1858,740,2247.28
270,276,678,954,1825,704,2232.96
275,344,845,1189,2124,830,2392.24
276,342,819,1161,1875,610,2261.0
277,346,825,1171,1780,649,2097.56
278,398,910,1308,2068,890,2301.4
279,304,817,1121,1894,757,2245.92
282,304,806,1110,1934,736,2315.32
284,307,761,1068,1803,603,2106.64
286,30,74,104,125,42,146.2
288,338,814,1152,2074,779,2310.36
289,21,24,45,73,45,65.64
290,399,860,1259,1924,765,2317.0
292,370,786,1156,1920,680,2188.0
294,326,734,1060,1824,694,2185.6
295,390,869,1259,2020,716,2305.6
299,371,720,1091,1819,687,2102.16
300,345,800,1145,2089,791,2381.2
301,346,886,1232,1860,707,2326.88
