team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,400,810,1210,1935,667,2307.88
5,439,942,1381,2391,903,2800.12
6,346,907,1253,2032,581,2318.6
8,348,841,1189,1996,608,2513.7200000000003
9,423,959,1382,2096,818,2486.88
12,360,803,1163,2216,858,2535.6
13,262,807,1069,1689,610,2140.8
16,248,702,950,1801,549,2053.44
21,343,909,1252,2146,857,2584.52
22,7,34,41,53,23,73.56
23,294,773,1067,1970,700,2212.96
24,285,756,1041,1819,742,2163.2400000000002
25,318,819,1137,1772,679,2040.32
26,351,849,1200,1992,772,2461.68
27,248,823,1071,1848,537,2304.64
28,301,803,1104,1788,640,2045.28
30,415,766,1181,1977,733,2231.12
35,14,28,42,72,26,70.4
36,302,791,1093,1859,809,2199.0
38,305,870,1175,1982,676,2421.12
41,361,812,1173,2145,653,2633.4
42,282,682,964,1596,609,1835.16
43,251,706,957,1650,673,2014.6
44,275,656,931,1665,561,2014.96
45,353,773,1126,1999,784,2250.92
46,346,850,1196,2001,791,2226.16
47,383,785,1168,2027,743,2494.64
48,329,846,1175,1888,653,2220.68
50,331,711,1042,1572,541,1905.6
52,334,794,1128,1882,773,2181.08
53,15,22,37,65,23,66.84
55,265,729,994,1749,828,2059.24
56,294,737,1031,1821,692,2073.56
57,382,888,1270,2002,608,2288.4
58,314,773,1087,1818,702,2219.0
59,351,859,1210,1943,684,2211.84
60,22,53,75,117,53,147.24
61,351,787,1138,1912,702,2172.32
62,301,763,1064,1877,493,2152.76
66,263,741,1004,1598,747,2165.88
68,282,811,1093,1933,717,2284.32
70,277,786,1063,1805,586,2144.6
71,278,822,1100,1875,725,2295.48
73,9,27,36,61,23,64.8
75,16,31,47,63,21,72.08
77,316,877,1193,1801,755,2208.8
79,295,766,1061,1769,609,2130.2400000000002
82,328,896,1224,1841,633,2219.56
84,380,820,1200,2084,787,2368.24
85,334,713,1047,1833,714,2147.08
87,283,863,1146,1862,673,2082.36
88,310,834,1144,1903,761,2332.64
89,8,29,37,61,21,61.959999999999994
91,276,763,1039,1717,889,2063.8
93,301,788,1089,1909,794,2158.28
94,351,829,1180,1808,704,2243.92
96,290,732,1022,1929,685,2271.88
97,317,748,1065,1862,739,2120.36
98,378,853,1231,2006,850,2259.04
99,316,809,1125,1859,773,2175.16
100,41,91,132,198,58,216.76
101,6,39,45,64,19,79.8
103,310,812,1122,1882,744,2206.36
104,248,786,1034,1672,653,2071.68
106,5,31,36,45,22,65.68
107,344,885,1229,1926,672,2206.88
108,238,664,902,1612,625,1906.44
111,272,710,982,1750,516,2013.76
112,16,25,41,62,31,65.84
113,303,768,1071,1794,731,2167.64
116,337,799,1136,1880,678,2176.12
117,32,83,115,191,76,217.12
119,300,733,1033,1845,737,2172.8
120,326,798,1124,1912,610,2241.92
127,305,805,1110,1968,757,2238.0
130,329,871,1200,2081,703,2325.84
131,8,24,32,67,18,71.96
135,336,786,1122,1856,580,2024.84
139,327,783,1110,1977,754,2281.52
140,316,746,1062,1730,697,2085.28
142,443,867,1310,1998,884,2447.52
145,334,793,1127,1873,645,2186.92
147,270,801,1071,1885,654,2380.7599999999998
149,236,704,940,1626,575,1973.1200000000001
150,337,771,1108,2079,741,2349.92
151,333,820,1153,1905,657,2241.64
152,304,881,1185,1931,648,2365.08
153,284,843,1127,2017,646,2311.2
154,310,832,1142,1990,769,2316.64
155,291,868,1159,1948,618,2246.6800000000003
156,326,904,1230,2332,688,2566.4
158,332,805,1137,1943,848,2184.0
159,253,740,993,1669,580,1981.56
160,272,827,1099,1701,566,1980.2
161,344,912,1256,2061,820,2587.6
163,263,792,1055,1904,633,2211.96
164,332,833,1165,1855,796,2238.96
166,203,603,806,1368,618,1707.88
167,344,849,1193,2100,810,2456.08
171,344,801,1145,1792,634,2046.56
172,266,693,959,1643,650,2037.04
175,7,34,41,60,32,75.48
179,306,790,1096,1713,675,2132.0
183,400,759,1159,1984,958,2185.2
188,5,28,33,58,27,69.92
189,298,776,1074,1857,708,2187.04
190,18,52,70,111,33,136.44
193,332,754,1086,1819,664,2201.2
194,355,804,1159,2046,751,2312.56
195,335,800,1135,1932,747,2291.68
197,367,846,1213,2076,808,2452.08
198,366,916,1282,2207,868,2482.12
200,18,19,37,53,22,52.24
201,305,745,1050,1845,567,2116.2
202,339,821,1160,1822,722,2060.64
204,320,755,1075,1743,665,2060.92
212,18,32,50,70,27,66.36
213,336,957,1293,2171,816,2395.76
218,333,775,1108,1881,634,2168.48
219,315,699,1014,1811,800,2053.16
221,376,870,1246,2122,836,2435.8
222,280,842,1122,1871,780,2203.36
224,19,44,63,131,77,148.07999999999998
225,218,711,929,1541,571,1877.16
227,328,787,1115,1822,633,2116.88
228,303,825,1128,1970,804,2315.76
231,338,864,1202,2094,733,2501.2
232,319,870,1189,2085,671,2475.48
233,283,775,1058,1800,718,2062.68
235,432,802,1234,2114,907,2532.88
236,324,861,1185,2099,893,2401.84
238,432,936,1368,2219,799,2472.92
239,341,745,1086,1902,720,2282.8
241,15,32,47,68,17,80.68
242,318,893,1211,2161,809,2496.72
245,373,749,1122,1924,880,2334.48
248,370,803,1173,1933,840,2373.04
249,346,776,1122,1822,643,2263.52
250,305,774,1079,1718,653,2150.16
251,380,927,1307,2132,741,2663.36
252,282,801,1083,1897,715,2391.28
253,344,948,1292,2270,829,2750.0
254,337,783,1120,1924,676,2118.8
255,16,30,46,73,28,70.92
256,322,806,1128,1920,729,2403.6
257,286,851,1137,1893,762,2206.24
258,262,793,1055,1717,687,2056.88
259,323,825,1148,2000,712,2269.32
261,241,862,1103,1866,687,2232.68
263,6,28,34,53,25,69.96000000000001
264,422,796,1218,2005,741,2219.96
265,288,801,1089,1875,603,2187.52
269,385,891,1276,2067,776,2516.88
270,438,799,1237,2187,912,2486.76
275,276,952,1228,1871,686,2234.6
276,408,824,1232,2016,693,2331.52
277,319,743,1062,1857,652,2349.92
278,266,746,1012,1607,603,1967.28
279,340,871,1211,1937,780,2334.76
282,286,885,1171,2117,752,2558.64
284,344,783,1127,1822,735,2113.92
288,288,806,1094,2024,794,2324.04
289,16,26,42,73,34,73.72
290,309,848,1157,1838,689,2222.0
291,16,36,52,74,33,73.72
