team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,205,444,649,1002,373,1208.96
5,224,485,709,1210,467,1422.88
6,172,458,630,1022,288,1172.0
8,195,421,616,1026,294,1233.44
9,237,553,790,1154,469,1383.8799999999999
12,215,498,713,1245,473,1417.8
13,149,478,627,954,307,1210.48
16,128,390,518,982,335,1130.96
21,151,374,525,961,404,1142.2
23,146,417,563,1006,351,1133.1599999999999
24,185,455,640,1099,467,1294.24
25,198,539,737,1122,436,1283.44
26,173,444,617,1037,403,1301.56
27,136,476,612,1071,283,1344.8400000000001
28,191,482,673,1094,372,1239.72
30,260,449,709,1199,431,1326.04
36,165,411,576,1018,436,1179.92
38,170,496,666,1094,368,1352.48
41,194,423,617,1111,343,1338.88
43,108,351,459,775,353,956.4
44,150,361,511,937,298,1136.3600000000001
45,193,445,638,1149,437,1296.2
46,193,541,734,1250,456,1390.96
47,164,289,453,816,265,1006.44
48,179,450,629,1002,350,1203.88
50,185,416,601,936,308,1161.52
52,179,494,673,1150,496,1353.3600000000001
55,130,422,552,989,496,1171.2
56,143,435,578,1037,404,1207.32
57,241,482,723,1114,333,1221.4
58,178,432,610,1067,392,1279.88
59,181,540,721,1155,421,1326.48
61,211,479,690,1088,414,1228.64
62,179,469,648,1132,284,1296.84
66,129,404,533,882,393,1177.88
68,152,420,572,1032,383,1207.0
70,159,471,630,1046,344,1191.8400000000001
71,165,456,621,1064,410,1299.0
77,182,513,695,1058,424,1284.96
79,179,467,646,1058,364,1267.52
82,183,570,753,1147,403,1389.16
84,213,477,690,1172,445,1320.08
85,203,421,624,1169,470,1343.56
87,192,557,749,1169,437,1306.2
88,162,452,614,1056,399,1279.48
91,150,429,579,959,495,1123.16
93,175,490,665,1179,503,1330.88
94,193,475,668,1011,387,1275.56
96,146,376,522,1001,366,1172.88
97,191,461,652,1159,485,1309.72
98,225,515,740,1201,531,1358.68
99,167,458,625,1026,451,1166.08
103,193,478,671,1159,462,1334.08
104,138,426,564,948,374,1167.0
107,195,503,698,1104,373,1238.92
108,107,341,448,787,327,951.92
111,143,423,566,1023,314,1190.88
113,172,433,605,1053,436,1260.48
116,193,474,667,1132,412,1297.32
119,161,402,563,998,381,1182.6
120,153,460,613,1046,344,1247.36
127,164,440,604,1066,394,1234.16
130,176,506,682,1201,387,1360.2
135,186,499,685,1133,321,1251.4
139,165,424,589,1056,413,1234.72
140,161,423,584,932,380,1150.04
142,233,456,689,998,449,1221.44
145,174,453,627,1015,359,1193.08
147,129,414,543,917,307,1181.44
149,136,402,538,892,310,1070.1200000000001
150,197,440,637,1187,413,1313.72
151,179,465,644,1039,369,1217.72
152,180,540,720,1125,359,1369.72
153,146,521,667,1177,346,1367.64
154,184,518,702,1203,444,1391.44
155,137,511,648,1040,323,1223.72
156,175,467,642,1242,367,1375.8799999999999
158,215,524,739,1231,551,1359.32
159,117,360,477,817,319,986.64
160,144,438,582,925,282,1050.84
161,125,378,503,852,328,1111.28
163,132,366,498,849,287,981.76
164,198,502,700,1099,479,1287.0
166,95,308,403,667,305,847.0
167,176,450,626,1091,414,1265.56
171,174,425,599,876,274,996.12
172,122,354,476,778,334,1016.8
179,168,453,621,950,400,1206.6000000000001
183,232,472,704,1225,596,1349.96
189,181,437,618,1076,394,1269.84
193,198,420,618,1023,358,1215.4
194,194,482,676,1144,455,1298.52
195,176,446,622,1021,395,1241.92
197,186,445,631,1024,367,1224.84
198,177,452,629,1114,447,1255.04
201,188,432,620,1060,305,1211.96
202,190,499,689,1085,460,1221.28
204,201,483,684,1071,417,1260.48
213,158,519,677,1126,409,1262.64
218,175,432,607,1039,371,1225.3600000000001
219,153,318,471,862,378,978.96
221,203,488,691,1151,457,1335.36
222,167,488,655,1103,439,1301.68
225,130,370,500,839,314,1004.72
227,190,469,659,1067,376,1237.92
228,181,480,661,1178,475,1371.48
231,180,418,598,1040,342,1228.36
232,172,446,618,1089,354,1278.32
233,152,456,608,1025,428,1191.08
235,201,409,610,1081,468,1325.64
236,175,475,650,1045,452,1220.76
238,223,461,684,1102,419,1198.8
239,175,402,577,1032,403,1192.96
242,189,533,722,1229,452,1404.36
245,199,381,580,998,461,1177.24
248,174,378,552,930,399,1153.32
249,169,387,556,957,326,1181.72
250,167,438,605,950,351,1204.2
251,183,445,628,1011,360,1268.12
252,131,373,504,882,327,1109.28
253,156,434,590,1069,389,1293.72
254,202,508,710,1182,418,1299.3600000000001
256,185,455,640,1045,362,1262.36
257,143,473,616,1021,413,1200.96
258,152,500,652,1037,406,1250.92
259,181,490,671,1162,415,1341.24
261,117,393,510,882,341,1043.1200000000001
264,282,504,786,1279,449,1398.76
265,186,494,680,1123,361,1285.88
269,205,488,693,1125,414,1397.48
270,265,475,740,1299,539,1465.0
275,158,561,719,1074,368,1279.0
276,225,480,705,1110,353,1316.16
277,163,396,559,992,335,1248.76
278,137,446,583,916,337,1138.8799999999999
279,168,434,602,977,409,1152.1200000000001
282,155,481,636,1148,412,1385.72
284,175,390,565,931,368,1057.8
288,156,440,596,1131,459,1275.72
290,184,457,641,1049,370,1212.36
292,184,439,623,1022,341,1229.84
294,140,412,552,944,483,1073.68
295,207,445,652,1026,430,1178.68
299,206,484,690,1269,463,1483.1200000000001
300,202,483,685,1149,404,1375.0
301,156,412,568,958,382,1114.0
302,181,438,619,1059,308,1319.52
304,142,430,572,964,338,1188.48
305,240,557,797,1207,419,1401.64
309,157,382,539,993,303,1206.68
311,148,411,559,878,327,1071.0
314,225,474,699,1169,403,1364.28
315,154,443,597,1049,312,1274.2
322,132,489,621,927,381,1149.0
324,197,467,664,1107,509,1242.92
325,236,449,685,1142,433,1363.32
326,143,387,530,912,307,1139.4
328,162,388,550,1040,354,1192.08
331,178,363,541,1078,489,1211.68
333,225,454,679,1136,373,1306.28
338,166,428,594,1022,442,1264.76
339,173,593,766,1162,480,1386.84
344,177,430,607,948,413,1170.0
349,137,385,522,1004,348,1190.48
350,154,427,581,946,329,1194.0
356,182,488,670,1168,359,1349.48
357,154,404,558,1004,422,1271.72
399,121,398,519,890,337,1063.72
526,165,468,633,1051,450,1204.32
2000,138,435,573,829,271,1125.28
2005,151,428,579,954,304,1133.4
2006,155,419,574,992,372,1191.84
2010,194,411,605,966,354,1220.84
2011,230,424,654,1051,346,1203.52
2016,159,384,543,986,389,1240.36
2026,193,466,659,1047,394,1162.32
2029,171,461,632,982,327,1276.72
2031,170,466,636,1057,414,1311.6
2032,157,454,611,975,316,1157.36
2046,174,482,656,961,355,1185.8
2050,151,433,584,1048,342,1238.84
2057,194,496,690,1207,390,1373.96
2065,210,473,683,1036,325,1235.64
2066,170,387,557,931,317,1069.52
2083,128,447,575,1012,325,1199.3600000000001
2084,182,442,624,1091,386,1298.2
2086,205,551,756,1147,391,1306.92
2097,166,429,595,991,407,1162.2
2099,191,498,689,1138,378,1335.16
2110,201,512,713,1148,494,1308.4
2115,158,395,553,923,313,1041.64
2116,183,421,604,959,366,1205.8
2117,200,432,632,1005,413,1208.68
2127,178,414,592,983,412,1171.88
2132,175,451,626,1078,309,1239.2
2142,143,418,561,1043,375,1197.68
2154,178,384,562,852,353,1007.72
2166,142,438,580,982,360,1161.88
2168,172,381,553,1015,364,1137.64
2169,142,368,510,840,333,1056.16
2172,180,403,583,1097,452,1242.2
2174,176,456,632,1145,433,1363.52
2181,146,500,646,1137,467,1362.12
2182,157,413,570,1010,281,1168.76
2184,202,461,663,1017,354,1246.4
