team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
1,15,24,39,58,30,66.12
2,147,279,426,803,321,919.76
5,109,314,423,775,318,929.24
6,154,314,468,815,520,883.3199999999999
8,158,297,455,845,369,942.56
9,142,306,448,749,340,912.88
12,126,251,377,773,278,940.8
13,137,315,452,792,375,933.84
16,143,342,485,761,315,883.8
21,125,222,347,593,280,713.92
22,35,82,117,141,62,152.96
23,128,237,365,635,259,731.28
24,96,297,393,699,222,922.44
25,142,300,442,765,289,899.4
26,108,240,348,605,253,758.12
27,121,274,395,734,220,832.96
28,129,285,414,717,310,829.12
29,10,30,40,60,28,76.28
30,131,230,361,698,294,824.5600000000001
36,102,200,302,635,298,713.12
38,126,287,413,788,281,920.44
40,25,46,71,90,42,80.28
41,109,236,345,585,207,729.04
43,145,279,424,836,379,953.4
44,134,337,471,719,253,909.84
45,119,288,407,772,322,944.6800000000001
46,110,280,390,631,252,772.08
47,178,397,575,920,342,1184.52
48,122,266,388,669,272,742.92
50,135,302,437,651,239,797.6800000000001
52,157,360,517,781,327,987.52
55,104,272,376,610,258,742.08
56,137,341,478,793,327,899.48
57,116,278,394,795,272,944.04
58,163,330,493,795,311,991.0
59,146,313,459,813,355,933.0
60,17,24,41,66,23,66.44
61,176,294,470,865,300,1015.24
62,98,205,303,587,192,704.4
63,12,30,42,64,29,66.4
66,120,260,380,718,279,911.52
68,79,247,326,633,233,763.32
70,103,307,410,752,319,908.84
71,111,279,390,576,237,752.36
73,33,61,94,129,43,152.04000000000002
77,142,243,385,648,267,741.04
79,125,257,382,684,291,801.72
82,139,231,370,648,287,767.68
84,117,239,356,652,208,767.4
85,137,325,462,693,235,916.12
87,108,287,395,726,321,862.36
88,123,304,427,639,193,731.5600000000001
91,124,259,383,692,335,806.12
93,141,239,380,720,179,810.36
94,118,252,370,639,256,798.56
96,128,296,424,765,318,902.76
97,142,294,436,788,304,941.48
98,122,296,418,673,307,814.52
99,148,268,416,801,312,906.64
101,25,67,92,142,66,153.76
103,145,346,491,784,290,885.88
104,122,276,398,716,291,844.6
107,112,347,459,741,298,862.04
108,124,316,440,782,325,915.52
109,10,32,42,56,21,64.88
111,112,270,382,615,208,762.12
113,115,300,415,755,317,955.52
116,112,260,372,648,291,769.44
117,29,71,100,140,49,159.56
119,113,293,406,750,325,853.88
120,129,281,410,667,290,787.96
127,94,240,334,634,294,754.24
130,134,242,376,733,301,825.68
135,102,236,338,599,229,722.6
139,126,263,389,799,324,966.28
140,182,371,553,900,327,1020.48
142,131,254,385,746,351,891.24
144,10,25,35,65,22,75.04
145,138,300,438,722,293,867.64
147,117,315,432,731,252,886.88
148,8,26,34,57,21,68.24
149,142,306,448,837,303,946.24
150,137,271,408,795,343,911.12
151,133,320,453,759,305,902.76
152,123,313,436,733,356,919.28
153,150,290,440,836,286,898.68
154,144,303,447,762,370,945.64
155,157,436,593,869,372,1141.28
156,132,262,394,702,212,742.36
158,118,276,394,686,356,781.24
159,144,310,454,836,324,917.52
160,139,371,510,750,278,903.64
161,127,329,456,731,330,876.28
163,115,395,510,826,345,999.96
164,129,258,387,647,229,730.6800000000001
166,91,230,321,532,243,693.72
167,117,266,383,642,333,781.64
170,38,67,105,171,77,160.16
171,131,280,411,840,300,964.6
172,140,308,448,839,319,996.4399999999999
177,16,36,52,75,37,74.48
178,17,54,71,105,41,132.44
179,136,270,406,738,280,877.64
183,167,318,485,754,260,879.28
185,12,32,44,66,26,67.4
189,111,318,429,710,310,962.08
190,28,56,84,138,35,154.8
193,136,283,419,808,322,956.2
194,116,229,345,660,262,772.04
195,155,315,470,801,306,915.6
196,15,25,40,65,24,67.04
197,141,307,448,829,390,986.32
198,166,366,532,881,329,1057.72
201,142,290,432,786,309,896.76
202,119,278,397,775,321,904.76
204,158,304,462,778,310,881.8
212,18,35,53,72,34,70.48
213,103,247,350,629,265,745.28
218,130,305,435,754,313,852.1999999999999
219,148,330,478,819,319,923.28
221,121,285,406,711,269,838.16
222,113,242,355,615,231,721.68
224,22,57,79,123,58,144.07999999999998
225,127,317,444,738,290,887.88
227,151,270,421,698,285,859.6800000000001
228,123,301,424,744,322,873.12
231,119,289,408,785,336,888.36
232,156,322,478,807,354,890.6800000000001
233,149,354,503,916,274,1101.56
235,171,309,480,773,345,925.04
236,133,324,457,744,301,881.2
238,126,293,419,751,294,960.88
239,145,255,400,828,276,945.56
241,20,36,56,69,20,73.44
242,150,326,476,772,285,914.1600000000001
245,132,303,435,784,329,984.6800000000001
248,147,292,439,677,283,847.4000000000001
249,148,289,437,678,259,864.88
250,111,252,363,653,203,834.2
251,115,267,382,762,250,922.04
252,146,284,430,798,333,909.72
253,128,341,469,834,259,949.96
254,150,316,466,819,270,922.96
256,140,323,463,744,268,867.56
257,130,324,454,757,357,928.12
258,150,258,408,760,268,867.5600000000001
259,156,312,468,794,326,915.76
261,114,348,462,834,356,998.6
263,19,23,42,62,24,73.0
264,117,256,373,676,254,791.1600000000001
265,104,289,393,751,296,904.24
268,8,34,42,66,36,72.48
269,116,292,408,662,256,807.28
270,112,287,399,654,267,787.68
275,93,270,363,653,256,790.04
276,163,299,462,796,309,924.84
277,114,301,415,697,241,845.88
278,120,252,372,651,281,782.44
279,120,264,384,721,288,869.76
282,132,274,406,700,231,781.36
284,125,334,459,785,300,905.4000000000001
288,146,349,495,805,307,957.72
289,25,37,62,79,27,76.6
290,168,352,520,799,315,959.56
292,93,213,306,523,229,620.08
294,124,302,426,721,270,894.04
295,145,336,481,782,288,899.4
299,96,295,391,662,230,849.24
300,157,296,453,747,269,863.16
301,153,302,455,753,279,911.76
302,125,248,373,630,244,788.56
304,128,249,377,741,281,857.48
305,120,255,375,622,195,761.76
309,129,310,439,664,258,812.8
311,188,364,552,846,328,991.6
314,134,294,428,716,294,812.52
315,95,247,342,526,229,652.1600000000001
322,152,339,491,787,299,885.48
324,153,386,539,845,330,958.48
