team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,52,94,146,231,60,273.84
5,52,93,145,239,97,262.68
6,12,37,49,59,24,74.6
8,20,48,68,124,30,143.48
9,5,37,42,54,26,76.24000000000001
12,51,134,185,305,111,350.24
16,19,71,90,163,84,202.04000000000002
21,74,142,216,343,124,390.4
23,7,25,32,53,19,60.6
24,23,55,78,132,57,143.12
25,19,34,53,68,24,75.84
26,21,42,63,109,39,119.0
27,19,55,74,113,31,134.72
28,8,21,29,57,30,65.36
30,21,53,74,114,43,136.51999999999998
36,46,114,160,278,80,322.8
38,66,133,199,367,130,391.64
41,90,186,276,537,171,583.88
43,31,111,142,224,106,264.04
44,12,22,34,58,25,58.68000000000001
45,11,27,38,67,23,63.519999999999996
46,10,27,37,56,32,61.92
47,30,78,108,223,54,263.0
48,16,51,67,118,49,132.84
52,22,51,73,118,43,141.36
55,5,18,23,56,22,66.52000000000001
56,59,96,155,263,90,274.4
57,44,137,181,318,94,386.28
58,51,100,151,237,93,268.28
59,8,23,31,52,23,66.36
61,72,180,252,384,120,426.96000000000004
62,22,47,69,121,33,131.44
66,66,146,212,323,140,384.68
68,19,57,76,112,35,133.16
70,8,24,32,50,22,64.0
71,42,99,141,229,101,263.96
77,21,86,107,163,71,205.95999999999998
79,9,33,42,69,20,77.04
82,19,68,87,122,58,144.16
84,20,59,79,118,59,140.12
85,11,20,31,60,20,68.84
87,20,40,60,116,43,128.48000000000002
88,9,23,32,46,15,67.96000000000001
93,6,35,41,47,20,58.6
94,30,60,90,133,36,153.44
96,27,51,78,132,57,141.32
97,8,19,27,51,19,69.6
98,41,103,144,249,105,298.24
99,20,51,71,114,47,138.0
103,51,120,171,300,115,312.48
104,22,54,76,121,53,138.24
107,14,45,59,114,52,125.84
111,7,29,36,54,20,67.68
113,11,26,37,44,17,59.2
116,9,26,35,62,18,68.08
119,31,66,97,163,74,183.92000000000002
120,22,53,75,121,46,134.0
127,35,85,120,215,89,257.76
130,6,26,32,47,17,63.76
135,23,70,93,169,58,200.12
139,15,48,63,115,41,135.36
140,8,30,38,56,29,65.6
142,9,23,32,55,29,61.16
145,21,27,48,65,21,69.28
147,44,90,134,248,81,282.8
149,69,112,181,324,111,340.56
150,46,116,162,272,75,315.15999999999997
151,13,48,61,111,59,135.24
152,107,246,353,618,257,690.32
153,46,147,193,361,117,416.32
154,34,101,135,221,100,268.32
155,10,20,30,60,15,65.6
156,44,101,145,280,96,277.92
158,39,80,119,208,78,223.95999999999998
160,12,51,63,102,41,132.60000000000002
161,9,33,42,61,35,70.92
163,13,64,77,110,39,149.04000000000002
164,9,36,45,51,20,68.36
166,9,28,37,60,21,70.64
167,61,133,194,307,131,340.2
172,30,65,95,130,47,137.60000000000002
179,37,71,108,181,60,198.44
183,17,23,40,66,20,69.56
189,23,72,95,174,63,196.52
193,9,35,44,66,23,76.28
194,53,135,188,322,115,365.8
195,23,59,82,114,49,140.72
197,13,30,43,62,18,66.56
198,10,51,61,103,42,123.96
201,8,22,30,53,18,72.44
202,13,28,41,54,15,66.4
204,9,21,30,46,15,55.04
213,26,57,83,114,30,130.84
218,48,146,194,282,112,335.44
221,19,52,71,110,43,133.48000000000002
222,22,86,108,177,86,194.83999999999997
225,27,46,73,137,57,140.88
227,9,26,35,59,22,67.8
228,74,132,206,305,140,334.28000000000003
231,15,60,75,113,40,144.92000000000002
232,34,102,136,241,96,279.24
233,8,28,36,59,26,63.599999999999994
235,9,33,42,60,23,67.84
236,34,54,88,140,62,144.48
238,9,27,36,65,25,77.44
239,23,88,111,218,77,260.4
242,18,18,36,70,21,62.400000000000006
245,45,117,162,300,140,370.08000000000004
248,89,133,222,333,117,386.32
249,44,99,143,228,73,264.24
250,31,53,84,171,61,212.8
251,35,88,123,176,62,206.2
252,29,80,109,178,59,205.95999999999998
254,60,169,229,397,132,429.48
256,54,121,175,290,108,339.56
257,19,58,77,109,40,125.4
258,26,93,119,171,60,187.51999999999998
259,26,77,103,176,52,211.24
261,39,114,153,208,78,254.51999999999998
264,8,25,33,56,22,69.24
265,34,84,118,221,65,251.28
269,65,169,234,361,167,410.6
270,37,94,131,256,105,291.96
275,47,128,175,273,91,335.36
276,27,58,85,126,40,138.8
277,14,22,36,65,38,68.24
278,25,45,70,118,51,140.28
279,13,37,50,65,19,73.56
282,65,191,256,490,165,566.84
288,8,27,35,60,25,68.28
290,22,57,79,122,28,150.51999999999998
294,34,57,91,178,62,197.96
295,14,23,37,61,15,78.24
299,45,113,158,265,106,282.68
300,16,58,74,118,36,140.04000000000002
301,29,62,91,112,42,146.51999999999998
302,18,51,69,112,33,131.16
304,17,72,89,163,59,195.39999999999998
305,3,30,33,52,35,61.64
309,30,54,84,128,42,139.51999999999998
311,9,32,41,55,17,65.84
314,15,54,69,104,35,124.64
315,11,44,55,98,26,128.2
322,5,34,39,52,20,68.96000000000001
324,23,47,70,131,45,141.48
325,47,133,180,295,122,348.84000000000003
326,52,87,139,226,80,278.16
328,57,112,169,261,98,285.16
331,11,23,34,50,21,66.52
333,87,151,238,406,156,437.32000000000005
338,10,27,37,54,21,70.64
339,44,109,153,225,89,266.2
344,40,92,132,216,95,265.84000000000003
349,7,29,36,51,19,60.68
350,9,27,36,42,15,60.44
356,79,169,248,443,139,472.72
357,17,60,77,109,43,148.0
399,10,22,32,55,16,66.08
526,14,24,38,58,25,66.68
2000,34,71,105,181,66,206.92000000000002
2005,16,29,45,68,21,66.72
2006,27,109,136,232,83,271.64
2010,44,89,133,245,85,278.52
2011,7,31,38,49,19,59.04
2016,12,29,41,56,22,68.44
2026,41,70,111,199,58,204.51999999999998
2031,32,72,104,174,85,199.2
2032,49,134,183,349,92,399.36
2046,35,103,138,225,62,280.28
2057,33,63,96,143,51,151.24
2065,30,77,107,154,45,207.56
2066,7,23,30,54,24,65.24000000000001
2083,19,49,68,102,50,122.88
2086,19,50,69,131,44,144.36
2097,14,23,37,67,24,65.96
2099,21,45,66,118,33,129.8
2115,20,50,70,104,37,117.52000000000001
2116,21,88,109,163,83,211.92000000000002
2117,18,33,51,60,20,59.36
2127,7,29,36,60,25,63.72
2130,16,43,59,108,41,126.08
2132,53,163,216,358,136,414.8
2142,34,91,125,227,111,259.32
